root_area_id,node,n_subject_condition,n_subjects,n_conditions,FCV,FCS,FCV_raw_mean,FCS_raw_mean,complete_all7_all3
0,MON,21,7,3,0.6172532944311337,-1.7050630757692027,0.27536626293509336,0.06246796979163299,True
1,Cb,21,7,3,-0.32634022197583895,0.36045869631752225,0.2152164927001787,0.46333123326214476,True
2,MOS1,21,7,3,-0.6279474194781562,0.853690814804281,0.19993751542417706,0.5295905534019527,True
3,MOS2,21,7,3,-0.4745396646854698,0.6116080368201483,0.20651681637337377,0.49957747132998154,True
4,MOS3,21,7,3,-0.5150159087544575,0.5478017032658334,0.2071844339582609,0.4943603037656399,True
5,MOS4,21,7,3,-0.4480146934493205,0.6746303635183403,0.20931185577032826,0.505652710156283,True
6,MOS5,21,7,3,0.12263936148514451,0.11673088010887629,0.24061703647034194,0.42087202745863794,True
7,IPN,21,7,3,0.036004443967394384,-0.058290245354215287,0.23756899101242787,0.39367070287657324,True
8,IO,21,7,3,0.21693181103097178,-0.5115960703762253,0.25381544000306555,0.3238462537966985,True
9,Hc,18,7,3,-0.8192119562717326,-0.1667386141174214,0.19596698725221423,0.34720176662104124,False
10,Ra,21,7,3,0.07905092959891293,-0.07900373105299079,0.24190181672064412,0.3841918043772167,True
11,T,21,7,3,-0.41372625096378907,0.8334250723275665,0.20937168402217146,0.5256020138149686,True
12,aRF,21,7,3,-0.3091304330598348,0.4181507354065183,0.2186460219309025,0.46786536126805395,True
13,imRF,21,7,3,-0.35917877870088805,0.6806838956038712,0.21302459075148825,0.5054860585278923,True
14,pRF,21,7,3,-0.27201123525579274,0.5464741914868254,0.217023300255404,0.4854305287843147,True
16,Hb,21,7,3,0.2044177947917544,0.0002591151857960481,0.25104276167245904,0.3919086090048511,True
17,Hi,21,7,3,-0.6642737471862664,0.7977412312943815,0.20281632300492722,0.5153254699048941,True
18,HR,18,7,3,-0.3748487499556875,0.43089425248925467,0.21955217028829482,0.4350458466308733,False
19,OG,21,7,3,-0.3018185714932332,-1.6084849496042137,0.22910105740377024,0.11344496797213384,True
20,OB,21,7,3,1.6919515133808787,-1.3759328869103296,0.3504681255487511,0.1486585728503507,True
21,OE,18,7,3,1.7509709749900966,-1.6393704534292413,0.32673417862375137,0.11304619297576826,False
22,P,21,7,3,0.49374366411855036,0.013166810766073971,0.25465877200977693,0.40177030833631555,True
24,PT,21,7,3,-0.24923280900167522,0.44308747463454795,0.223432717757928,0.47260428628405843,True
25,PO,21,7,3,0.18086258408706624,0.4163391531463146,0.23928258013299664,0.47337995155024293,True
