root_area_id,node,anatomy_group,EdgeStdFCV,Hard_OO_fraction,FU_DCApost
20,OB,Tel,1.9566203594917544,-1.561257264951644,0.8974232672861873
1,Cb,Hind,-0.7297982691970626,0.4009870063380636,-0.1677923755248679
16,Hb,Di,0.6828478073494272,0.3119198438538805,1.3080710427484363
0,MON,Hind,-0.7613132546510145,1.5412075932405294,0.5981636839985248
2,MOS1,Hind,0.0094105837219471,-0.1923997825943298,-0.1543137106082948
3,MOS2,Hind,-0.5655179135992987,-1.2222775012267464,0.2693434525143494
4,MOS3,Hind,0.6911287465726529,0.2415218303864893,-1.5782393332146407
5,MOS4,Hind,-0.6216934515659138,0.6449166588312186,-0.7861839831335451
6,MOS5,Hind,-0.2524148376973469,0.939018209269047,0.0639490955253981
35,NX,Hind,-1.2652469306677545,-0.3988632513508826,0.6973481088206084
22,P,Tel,1.5972458836386896,0.0414891397698908,0.7774428096806407
25,PO,Tel,1.140521236620741,1.339569008294932,0.8281196030707912
24,PT,Di,-0.3422091536324604,-0.520525800411421,-0.2059224651042193
26,PrT,Di,-0.512524028451429,-1.1357759570399095,0.6800526078918006
10,Ra,Hind,-0.2230748966117301,-1.561257264951644,0.7720217178133207
28,SP,Tel,1.9999019158554208,1.7716548027220926,0.2331507589620538
11,T,Mes,-0.0991402194216248,-0.0244443398762182,-3.1394384133547844
32,TS,Mes,-0.552331350011447,0.4570095218298488,-1.4316141218002705
29,TeO,Mes,-0.4256736294517328,0.0768722922118646,-0.9703319630242804
30,Th,Di,-0.0366606125491404,-0.4258026804777068,0.4221176822950974
37,rCb,Hind,-0.6242137343459601,0.2047873338026619,0.8617520792464942
52,rHb,Di,1.4272907781884343,0.09447359672269,0.9615517530050816
36,rMON,Hind,-0.7385524700270041,1.4952343890386004,1.0002419081663272
38,rMOS1,Hind,-0.2168385803666782,-0.1331189737377837,-0.83199529957347
39,rMOS2,Hind,-0.9536454535347156,-0.6713400005740797,0.8036149777622046
40,rMOS3,Hind,0.2194925912407089,0.0639366535497826,-2.1759731229670307
41,rMOS4,Hind,-0.9424202645267644,0.492103905041765,-0.6036743869994285
42,rMOS5,Hind,-0.346812381709895,0.5739626181377064,0.1033233305269871
71,rNX,Hind,-1.223774894782004,-0.5325229868845117,1.1435171041482983
58,rP,Tel,1.6673587693272764,1.830715882829782,0.7929500477349019
61,rPO,Tel,1.543820544394209,1.204327594880508,0.6771615500890783
60,rPT,Di,0.4521151892455512,-1.561257264951644,0.3156166556189683
62,rPrT,Di,0.1161768507097801,-0.0057491660725161,0.9710855919488852
46,rRa,Hind,-0.1945362435807689,-1.561257264951644,0.3980053862822999
64,rSP,Tel,2.1428255790198385,2.149014424573518,0.7854682089037683
47,rT,Mes,-0.0575565758214688,-0.4128711220837352,-1.987173035554047
68,rTS,Mes,-1.7084954830006849,-0.2794996703236148,-0.5488151157991774
65,rTeO,Mes,0.1362521379755819,-0.0730699978308688,-0.2889717816681042
66,rTh,Di,0.9426284054683144,0.6244483843712704,0.4695807944436643
48,raRF,Hind,-1.6309306534565011,-1.2551765490696951,-0.3121488512287211
49,rimRF,Hind,-1.3684497509945874,-1.561257264951644,-1.36845891380325
50,rpRF,Hind,-0.3318123451653424,-1.409446585383902,-0.2800263451260331
