subset_fraction,n_morphologies,iteration,sampling_attempts,metric,n_regions,full_reproducibility_r,full_reproducibility_p,fcv_pearson_r,fcv_pearson_p,fcv_spearman_rho,fcv_spearman_p
0.1,286,0,6,DCApost,42,0.9112110826670043,5.368287945527145e-17,0.2972994378230206,0.055868733254646856,0.25986548902033874,0.09651538733538641
0.1,286,0,6,OO_fraction,42,0.7104570922570419,1.3599525906516966e-07,0.23486934352038433,0.13433480502009756,0.20870715245514948,0.18470074228933414
0.1,286,1,10,DCApost,42,0.7026703701146564,2.131921134890257e-07,0.048917693973536784,0.7583564258019782,0.060205818005023906,0.7048756340375564
0.1,286,1,10,OO_fraction,42,0.3699442861758908,0.0158913426386455,0.32692432363747853,0.0345814295317535,0.15665775390163655,0.3218058057818939
0.1,286,2,11,DCApost,42,0.7107645236639082,1.3356279865130383e-07,0.3528867618781755,0.02189142737806024,0.3144801879912487,0.04252523182522028
0.1,286,2,11,OO_fraction,42,0.4327087730395291,0.004208919002309075,0.524366786567189,0.0003645387380498106,0.4197471161906152,0.00565283185203886
0.1,286,3,3,DCApost,42,0.6952628818475818,3.227330454655772e-07,0.2859347681943876,0.06640473086549457,0.19698565756421685,0.21116039538543788
0.1,286,3,3,OO_fraction,42,0.38647955277134827,0.011465721338489932,0.29519588601951835,0.05771063443403843,0.1833590741617371,0.24510228769861062
0.1,286,4,14,DCApost,42,0.7925553126794759,3.987813206954086e-10,0.3323417678532164,0.0315267143887265,0.3470545336682603,0.024335343778542032
0.1,286,4,14,OO_fraction,42,0.5966298262519479,3.044782887544386e-05,-0.05571130202813365,0.7260183758416628,-0.047928002136040086,0.7631030466192421
0.1,286,5,1,DCApost,42,0.6551774968701244,2.4991857593309907e-06,0.23148883985287047,0.14019521739142848,0.09747994489911678,0.5391211117224219
0.1,286,5,1,OO_fraction,42,0.5129533619284785,0.000513649087469983,0.5667557065711659,9.115489974256039e-05,0.46465632869922874,0.001934523549969427
0.1,286,6,5,DCApost,42,0.8530797317004872,7.293445332457071e-13,0.38978357128996033,0.010720936217207306,0.33036220727655785,0.03261603002729995
0.1,286,6,5,OO_fraction,42,0.5669293713334733,9.060317798753634e-05,0.5152409114340748,0.00047999439762575353,0.3854514283461904,0.011706304339232787
0.1,286,7,1,DCApost,42,0.5183237404913613,0.0004377694802520329,-0.10775388489777805,0.4969906867506232,-0.16441131188720526,0.29812959628063435
0.1,286,7,1,OO_fraction,42,0.4221631894843091,0.005355009063438057,0.34157357306471886,0.026835334378414122,0.18223806822785837,0.2480495744449445
0.1,286,8,2,DCApost,42,0.7181537783496171,8.594537113905111e-08,0.22862705821303936,0.14530246750810633,0.17202819868730249,0.2759902247635246
0.1,286,8,2,OO_fraction,42,0.48225929543052626,0.001219920902043023,0.12887816204909813,0.41597705079081765,0.09488631633598088,0.5500221601681445
0.1,286,9,7,DCApost,42,0.808100067018579,9.802527815488919e-11,0.28771515361214184,0.06465741296128488,0.1903411392917916,0.22727794343721305
0.1,286,9,7,OO_fraction,42,0.39950491465994,0.008764685670577258,0.06815178592711264,0.6680366312670047,-0.012237620713474973,0.9386886035579097
0.1,286,10,11,DCApost,42,0.735454315067114,2.894185795734151e-08,0.39484050251917735,0.009661230263895334,0.36423304432379877,0.017722634282964663
0.1,286,10,11,OO_fraction,42,0.6989316888038678,2.632266648360207e-07,0.4550728227467482,0.0024617079608804404,0.34207720363374156,0.026597061666666484
0.1,286,11,7,DCApost,42,0.9099179269823098,7.081596495172689e-17,0.2301567094980202,0.14255580929160153,0.2347459687221457,0.13454543060745017
0.1,286,11,7,OO_fraction,42,0.4240551370923493,0.005131399228454077,0.49723619918775697,0.0008079828463040251,0.38682227592990753,0.011386467120845272
0.1,286,12,6,DCApost,42,0.5014439816848486,0.0007172209810524645,0.13566989644650235,0.39162285437935146,-0.029414147962077627,0.8532976299951389
0.1,286,12,6,OO_fraction,42,0.43608006006110006,0.0038908026777493892,0.4074811944348642,0.00739676936371275,0.17542154488924128,0.26648387214059727
0.1,286,13,4,DCApost,42,0.7958583806442652,2.989729497440025e-10,0.4596364211809853,0.002196697272442044,0.4075034438052022,0.00739322748185037
0.1,286,13,4,OO_fraction,42,0.4921789025799432,0.0009305303380279611,0.6474405246655187,3.5850152433505707e-06,0.390664884239467,0.01052940704555583
0.1,286,14,21,DCApost,42,0.8759947891198581,3.062265365429332e-14,0.25198365978340187,0.10742935111692099,0.24041811846689898,0.12511338418201065
0.1,286,14,21,OO_fraction,42,0.6153593018585247,1.4452164208162726e-05,0.384580573091669,0.01191344184133359,0.31246708019651204,0.04393980392787291
0.1,286,15,1,DCApost,42,0.8632403416960956,1.9192510993846666e-13,0.4064628294929597,0.007560457430381984,0.3966453285795316,0.00930541634893751
0.1,286,15,1,OO_fraction,42,0.7742955437550566,1.7945147581316488e-09,0.6927004689293738,3.7144710619993645e-07,0.6155280087340557,1.4352354320676246e-05
0.1,286,16,12,DCApost,42,0.7401713720325237,2.1197053637961404e-08,0.4175709897027161,0.005933269552865454,0.3126975123571834,0.04377597256093689
0.1,286,16,12,OO_fraction,42,0.8603550902015633,2.8338537650957576e-13,0.4760175936578445,0.0014406139218626189,0.40142857044930963,0.008416318935930756
0.1,286,17,10,DCApost,42,0.8208003388617137,2.8253396590130842e-11,0.12758588865606835,0.42070635532962986,0.07657402155416904,0.6298139144837873
0.1,286,17,10,OO_fraction,42,0.6645055496638447,1.5953535484998249e-06,0.1229807545924313,0.4378044794378426,0.08698146423852948,0.5838756577486031
0.1,286,18,1,DCApost,42,0.7807571521553188,1.0712327784425802e-09,0.42504957121659837,0.005017153973476204,0.3710396240175027,0.01555907630453451
0.1,286,18,1,OO_fraction,42,0.8683147833039324,9.461195354356371e-14,0.5152350879834452,0.00048007750037974917,0.4049760973856585,0.007805032923997042
0.1,286,19,5,DCApost,42,0.7738727274909468,1.8550379431462203e-09,0.4121993429042464,0.006677663073203724,0.30605299408475817,0.048703543266048664
0.1,286,19,5,OO_fraction,42,0.435019468364758,0.003988536665871102,0.34615552984078113,0.02473155280595838,0.25161055083251294,0.10796837130042386
0.1,286,20,1,DCApost,42,0.8080399549336176,9.858249189307787e-11,0.2452570260575606,0.11746640396529698,0.24106636415201363,0.12406784254242033
0.1,286,20,1,OO_fraction,42,0.8455826780917342,1.8348376334935084e-12,0.240384402674352,0.12516794383810753,0.1686522430777577,0.2856659719892228
