analysis,support_threshold,metric,n_regions,pearson_r,pearson_p,spearman_rho,spearman_p
support_filter,1,DCApost,41,0.22450537357333522,0.15819530706154214,0.17526132404181188,0.2730677037703871
support_filter,1,OO_fraction,41,0.514204515943891,0.0005836553707352351,0.35782138473060243,0.021621271967359024
support_filter,2,DCApost,41,0.20764262105124298,0.19267858293568116,0.12700348432055752,0.4287794457266889
support_filter,2,OO_fraction,41,0.5458518665544939,0.00022307624441933772,0.38466234588428616,0.013019133400807395
support_filter,3,DCApost,41,0.29243786393219745,0.06353922226784006,0.15975609756097564,0.3184101917005411
support_filter,3,OO_fraction,41,0.5349090610230464,0.0003144511537580905,0.3440523202426737,0.027622175231521082
