recording_id,root_area_id,EdgeStdFCV,FCS,Subject,FU_DCApost,Hard_OO_fraction,Reciprocity,LogOutIn
subject_12,0,0.2986618161273212,0.0654994508129081,12,-0.0014152689408775,0.4284907552284197,0.1857053132644291,1.6279741836104125
subject_12,1,0.28747077474849,0.2356356736901673,12,-0.0395306287509969,0.2720361951601293,0.574658556734899,0.2621048646650062
subject_12,2,0.2936473669814159,0.2948547368380223,12,-0.0034073001819469,0.0,0.8327217758505712,-0.3547123614941922
subject_12,3,0.252397532981229,0.3237373265928152,12,-0.0034160233215288,0.0,0.8924748753983168,-1.37034593544029
subject_12,4,0.3047427431062824,0.2960685608414876,12,-0.0480934080022495,0.2869358225076327,0.6298503270682102,0.2618691474438412
subject_12,5,0.2668073249879713,0.3233694695890315,12,-0.0400122906310144,0.2950883524539421,0.4808627700390064,0.6394706239157965
subject_12,6,0.2921313922895192,0.2439741099858112,12,-0.0121808193150295,0.2723005503968249,0.4456884761357243,0.6409326340830407
subject_12,10,0.3292076849883602,0.2017195703589149,12,0.0148571106589047,0.0,0.6304561447998225,-1.0382042445550546
subject_12,11,0.3040399624181056,0.3311500762944364,12,-0.0676822288763302,0.2920782334153796,0.4582273420201703,0.5690675226319694
subject_12,16,0.3421079612873121,0.0427029418003617,12,0.0069572350161849,0.7852192650398928,0.5092889173606663,-0.453186147138072
subject_12,22,0.3514891943468322,0.0730452559034799,12,-0.0046870610702378,0.657549714572486,0.4791732011793488,0.2117215384324447
subject_12,24,0.317124287638903,0.2314092612690027,12,-0.0253682045410234,0.503537323470074,0.3536606142120601,0.0544100002947589
subject_12,25,0.3517069016775574,0.1859126374586656,12,0.0051675293083661,0.5205579663158595,0.4022312002261127,0.7732397668621622
subject_12,26,0.2957007567184253,0.3192781543048459,12,-0.0023248022328978,0.0,0.9167050838147738,-0.8000381276173186
subject_12,28,0.3622033202424852,0.142972789108485,12,-0.0243552174611643,0.6148472811943569,0.2059687409639471,1.4573329351701
subject_12,29,0.3294634718993575,0.1220332567039363,12,-0.0381946698787254,0.2026496302639649,0.7941036070961545,-0.221739856211991
subject_12,30,0.3324795375423253,0.2228423091813362,12,-0.0115613970915669,0.0,0.5952079631045664,0.0028682404277127
subject_12,32,0.3305151104274439,0.1024056262556711,12,-0.010773654501088,0.4603836530442035,0.2357520155685293,0.4057430789230188
subject_12,35,0.2435259552568842,0.286725819565572,12,0.01696302418259,0.0,0.7873796818914424,-0.8805430412394611
subject_12,36,0.3138826487688042,0.0740085333350492,12,-0.0036187635991404,0.4270286218622905,0.3373605215166306,0.8536086071837307
subject_12,37,0.2889064433949679,0.2680301441298907,12,-0.0068544329082412,0.3493894991143342,0.6090946377784889,0.2579111701237973
subject_12,38,0.2761476669900498,0.3086412938674912,12,-0.0078647089549799,0.2055191859255973,0.7333930257425816,0.0008267095774435
subject_12,39,0.2470420652102564,0.3239116699164869,12,0.0072586607359467,0.0,0.8411465919503398,-1.0594247663511946
subject_12,40,0.2975294300338618,0.261182817832271,12,-0.0467331568855884,0.2166919059935584,0.6238925487508288,0.3164116249125168
subject_12,41,0.2583631849600435,0.3248053179063156,12,-0.038167157631521,0.2655427587838075,0.5416497386387942,0.4981511486623879
subject_12,42,0.2992009235200499,0.23957378225245,12,-0.0184792558792992,0.1924865230517406,0.4756976486848753,0.4941305585336573
subject_12,46,0.3425982214231488,0.1827270881905318,12,0.0070475038804898,0.0,0.8126595467569679,-1.4130102458298237
subject_12,47,0.2953113826697685,0.2964451410586881,12,-0.0309392363179971,0.0806358279862782,0.6570403690666872,-0.0922363084716915
subject_12,48,0.2638111505037104,0.2840661740177198,12,-0.0316905358464438,0.0,0.8644008409250176,-2.3965460675092163
