recording_id,surrogate,mean_abs_NetTE,extreme_pair_fraction
subject_12,1,0.011351803317666054,0.05507246376811594
subject_12,2,0.011480063199996948,0.057513348588863464
subject_12,3,0.011283316649496555,0.0540045766590389
subject_12,4,0.01134585402905941,0.058886346300533944
subject_12,5,0.011384924873709679,0.058123569794050346
subject_12,6,0.011425054632127285,0.06041189931350115
subject_12,7,0.011236727237701416,0.058123569794050346
subject_12,8,0.011363977566361427,0.056292906178489706
subject_12,9,0.011383079923689365,0.055835240274599546
subject_12,10,0.011329992674291134,0.056140350877192984
subject_12,11,0.011398269794881344,0.058428680396643784
subject_12,12,0.01145294401794672,0.060259344012204424
subject_12,13,0.011265142820775509,0.05369946605644546
subject_12,14,0.011467804200947285,0.06193745232646834
subject_12,15,0.011387485079467297,0.059038901601830666
subject_12,16,0.011350165121257305,0.05491990846681922
subject_12,17,0.01129637099802494,0.056750572082379866
subject_12,18,0.011382479220628738,0.057665903890160186
subject_12,19,0.011366423219442368,0.05461479786422578
subject_12,20,0.011290255934000015,0.058581235697940506
subject_12,21,0.011304623447358608,0.05644546147978642
subject_12,22,0.011525017209351063,0.06331045003813883
subject_12,23,0.011426322162151337,0.059801678108314264
subject_12,24,0.011359143070876598,0.06132723112128147
subject_12,25,0.011404155753552914,0.060259344012204424
subject_12,26,0.011486688628792763,0.05690312738367658
subject_12,27,0.011733108200132847,0.06331045003813883
subject_12,28,0.011322512291371822,0.05919145690312738
subject_12,29,0.011280804872512817,0.058581235697940506
subject_12,30,0.01133757084608078,0.055835240274599546
subject_12,31,0.01138166431337595,0.0532418001525553
subject_12,32,0.01134356576949358,0.057513348588863464
subject_12,33,0.011417731642723083,0.06102212051868802
subject_12,34,0.01125256810337305,0.05919145690312738
subject_12,35,0.011415146291255951,0.058886346300533944
subject_12,36,0.011301534250378609,0.0578184591914569
subject_12,37,0.011391161940991879,0.05827612509534706
subject_12,38,0.011547439731657505,0.061174675819984745
subject_12,39,0.011622635647654533,0.05827612509534706
subject_12,40,0.011629408225417137,0.06102212051868802
subject_12,41,0.011413494125008583,0.06529366895499619
subject_12,42,0.01158740371465683,0.05995423340961099
subject_12,43,0.011347818188369274,0.05446224256292906
subject_12,44,0.01128352526575327,0.059038901601830666
subject_12,45,0.01137272547930479,0.058581235697940506
subject_12,46,0.011454545892775059,0.05995423340961099
subject_12,47,0.011309055611491203,0.05339435545385202
subject_12,48,0.011354740709066391,0.05964912280701754
subject_12,49,0.011508520692586899,0.06376811594202898
subject_12,50,0.011377900838851929,0.056598016781083144
subject_12,51,0.011308664456009865,0.059496567505720827
subject_12,52,0.011296901851892471,0.0601067887109077
subject_12,53,0.011349949054419994,0.060717009916094584
subject_12,54,0.01137067936360836,0.061174675819984745
subject_12,55,0.011385698802769184,0.05690312738367658
subject_12,56,0.011205674149096012,0.05217391304347826
subject_12,57,0.01128239743411541,0.05964912280701754
subject_12,58,0.011411506682634354,0.06041189931350115
subject_12,59,0.011227047070860863,0.05354691075514874
subject_12,60,0.011251484043896198,0.059344012204424104
subject_12,61,0.011204436421394348,0.05507246376811594
subject_12,62,0.011384526267647743,0.057208237986270026
subject_12,63,0.011561073362827301,0.058123569794050346
subject_12,64,0.011481242254376411,0.060259344012204424
subject_12,65,0.011266971938312054,0.05827612509534706
subject_12,66,0.011297516524791718,0.05537757437070938
subject_12,67,0.011557819321751595,0.06483600305110603
subject_12,68,0.0113998893648386,0.056598016781083144
subject_12,69,0.011582051403820515,0.057208237986270026
subject_12,70,0.011599144898355007,0.06178489702517163
subject_12,71,0.011528152041137218,0.06361556064073226
subject_12,72,0.01126894261687994,0.056750572082379866
subject_12,73,0.011415764689445496,0.058581235697940506
subject_12,74,0.011337573640048504,0.05964912280701754
subject_12,75,0.01134441513568163,0.055835240274599546
subject_12,76,0.01155077200382948,0.0639206712433257
subject_12,77,0.011395582929253578,0.057665903890160186
subject_12,78,0.011122167110443115,0.05354691075514874
subject_12,79,0.01137335691601038,0.058428680396643784
subject_12,80,0.011328711174428463,0.061174675819984745
subject_12,81,0.01150186825543642,0.059038901601830666
subject_12,82,0.011405808851122856,0.06147978642257818
subject_12,83,0.011275802738964558,0.059038901601830666
subject_12,84,0.011373440735042095,0.056598016781083144
subject_12,85,0.0111717963591218,0.057208237986270026
