recording_id,n_units,n_timepoints,n_pairs,observed_global,global_p,observed_exceedance,exceedance_p
subject_12,115,640,6555,0.01472016955225659,0.004975124378109453,0.1318840579710145,0.004975124378109453
subject_13,133,1200,8778,0.00817027737075143,0.004975124378109453,0.14775575301891092,0.004975124378109453
subject_14,133,500,8778,0.022218264721593214,0.004975124378109453,0.17999544315333788,0.004975124378109453
subject_15,99,600,4851,0.02088022397346647,0.004975124378109453,0.19624819624819625,0.004975124378109453
subject_16,120,517,7140,0.015516374903097967,0.004975124378109453,0.08368347338935575,0.004975124378109453
subject_17,123,800,7503,0.010955954374577716,0.004975124378109453,0.11228841796614687,0.004975124378109453
subject_18,110,1000,5995,0.008472646221470289,0.004975124378109453,0.10458715596330276,0.004975124378109453
