omitted_recording,n_animals,n_regions,r,p_value
none_full_sample,7,42,0.612823581197885,1.603102323033958e-05
subject_12,6,42,0.7355603106205124,2.8742098861279497e-08
subject_13,6,42,0.6437139445112806,4.250179513823896e-06
subject_14,6,42,0.5861070991090321,4.535792999871437e-05
subject_15,6,42,0.617284793441459,1.3349903745327511e-05
subject_16,6,42,0.5000877202550228,0.0007454272286296881
subject_17,6,42,0.5738293323373742,7.098761768838246e-05
subject_18,6,42,0.5345683202908222,0.00026552802394735084
