recording_id,root_area_id,node,NetTE,n_functional_units,legacy_order,anatomy_group
subject_14,41,rMOS4,0.009668446292930715,2,27,Hind
subject_14,42,rMOS5,0.005122009126389594,4,28,Hind
subject_14,46,rRa,-0.007911673636523772,1,34,Hind
subject_14,47,rT,-0.002072391131345145,3,36,Mes
subject_14,48,raRF,-0.01348894021817302,1,40,Hind
subject_14,49,rimRF,-0.0014969075331468333,1,41,Hind
subject_14,50,rpRF,-0.005131318324790404,2,42,Hind
subject_14,52,rHb,0.022870388356460342,1,22,Di
subject_14,58,rP,0.0068398519978288535,2,30,Tel
subject_14,60,rPT,0.0138168785833264,1,32,Di
subject_14,61,rPO,-0.0004817101035641023,1,31,Tel
subject_14,62,rPrT,0.021408726114657394,1,33,Di
subject_14,64,rSP,-0.0025948254090318937,1,35,Tel
subject_14,65,rTeO,0.0024984060472929164,16,38,Mes
subject_14,66,rTh,0.01673757096706172,3,39,Di
subject_14,68,rTS,-0.010298092719158344,1,37,Mes
subject_14,71,rNX,-0.0046565673898077906,1,29,Hind
subject_15,0,MON,0.0021519972346622676,1,4,Hind
subject_15,1,Cb,-0.0012184002409331297,3,2,Hind
subject_15,2,MOS1,0.016125975440058855,3,5,Hind
subject_15,3,MOS2,0.02496714191499209,1,6,Hind
subject_15,4,MOS3,0.012091996538801542,2,7,Hind
subject_15,5,MOS4,0.012551519363881703,2,8,Hind
subject_15,6,MOS5,0.017739069660458035,2,9,Hind
subject_15,10,Ra,0.005766992643482723,1,15,Hind
subject_15,11,T,-0.0006988996232217917,1,17,Mes
subject_15,16,Hb,-0.006316452381209388,1,3,Di
subject_15,20,OB,-0.0045006035158417085,1,1,Tel
subject_15,22,P,0.006303219273232467,1,11,Tel
subject_15,24,PT,0.0014175520119689257,1,13,Di
subject_15,25,PO,0.008835844186249036,1,12,Tel
subject_15,26,PrT,-0.001332610829067193,1,14,Di
subject_15,28,SP,0.023751184388413827,1,16,Tel
subject_15,29,TeO,-0.007495187690753841,10,19,Mes
subject_15,30,Th,0.0026084062920279675,2,20,Di
subject_15,32,TS,-0.008702332635798525,1,18,Mes
subject_15,35,NX,0.012204793268041893,1,10,Hind
subject_15,36,rMON,0.001917544055182872,2,23,Hind
subject_15,37,rCb,0.002149108240490151,3,21,Hind
subject_15,38,rMOS1,0.01437668030537348,2,24,Hind
subject_15,39,rMOS2,0.021912917758304805,1,25,Hind
subject_15,40,rMOS3,0.013432213720500444,2,26,Hind
subject_15,41,rMOS4,0.014467734469088299,2,27,Hind
subject_15,42,rMOS5,0.008213609680826713,3,28,Hind
subject_15,46,rRa,0.009047515887313335,1,34,Hind
subject_15,47,rT,0.0050771360476272115,1,36,Mes
subject_15,48,raRF,-0.008421609688822669,1,40,Hind
subject_15,49,rimRF,-0.002843312466681832,1,41,Hind
subject_15,50,rpRF,0.0036755568056431025,1,42,Hind
subject_15,52,rHb,-0.010508146214485424,1,22,Di
subject_15,58,rP,0.0007068677390069802,1,30,Tel
subject_15,60,rPT,-0.012671673895641987,1,32,Di
subject_15,61,rPO,0.013809828559677911,1,31,Tel
subject_15,62,rPrT,-0.0011427011257861355,1,33,Di
