analysis,parameter,measure,n_regions,pearson_r,pearson_p,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,retained_edge_fraction
dca_percentile,25.0,OO,42,0.6332338320058593,6.777448032993654e-06,0.40529868768048233,0.7909263030041369,9.999000099990002e-05,
dca_percentile,25.0,OO_minus_independence,42,0.06018922279511321,0.7049533093112978,-0.10733504036315354,0.2203173870374251,0.7165283471652835,
dca_percentile,25.0,conditional_target_positive,39,0.47736997280136767,0.00211930410766758,0.1571449573271257,0.6950869810699937,0.0016998300169983002,
dca_percentile,25.0,source_positive,42,0.4820073931364228,0.0012282096319835042,0.255985511349826,0.6795249823803563,0.0011998800119988001,
dca_percentile,25.0,target_positive,42,0.5106398838587629,0.0005498207906225704,0.19213911651538898,0.704788090686335,0.0006999300069993001,
dca_percentile,35.0,OO,42,0.6048959814476409,2.2042023299424073e-05,0.33977095384002537,0.776413742474872,9.999000099990002e-05,
dca_percentile,35.0,OO_minus_independence,42,0.04259856722266215,0.7888067746524523,-0.14293219521483588,0.20581542678917022,0.7971202879712029,
dca_percentile,35.0,conditional_target_positive,38,0.45508487197024994,0.004094952487881834,0.10834733175275159,0.6825337343486753,0.0044995500449955,
dca_percentile,35.0,source_positive,42,0.44631465615961435,0.003050044136543511,0.21040027543635223,0.6477430411383366,0.0029997000299970002,
dca_percentile,35.0,target_positive,42,0.5277963280987398,0.00032806496927912163,0.21437189029881404,0.7083765371624734,0.00039996000399960006,
dca_percentile,40.0,OO,42,0.5692779591174107,8.343374603859997e-05,0.2725817986150178,0.7550989334952611,9.999000099990002e-05,
dca_percentile,40.0,OO_minus_independence,42,0.12175208151574773,0.442430439726803,-0.08416919870186104,0.3520500986836048,0.43775622437756223,
dca_percentile,40.0,conditional_target_positive,38,0.3869603012123519,0.016393586867674476,-0.01682088868387274,0.6395914825545179,0.016798320167983202,
dca_percentile,40.0,source_positive,42,0.43835734971669255,0.003687989968950248,0.18853630342478284,0.6479110318110781,0.003999600039996,
dca_percentile,40.0,target_positive,42,0.49853843309100654,0.0007788563519041422,0.16891117453742036,0.6859766810092651,0.0008999100089991,
dca_percentile,45.0,OO,42,0.5203135404531196,0.0004123171211559351,0.20647879000916422,0.7403510967464375,0.000999900009999,
dca_percentile,45.0,OO_minus_independence,42,0.0639698455321283,0.6873356239235473,-0.12665713648936983,0.25931670466202855,0.6893310668933107,
dca_percentile,45.0,conditional_target_positive,38,0.3567029634481546,0.027928279652845164,-0.03643995378773021,0.6095555142340408,0.026297370262973702,
dca_percentile,45.0,source_positive,42,0.3716439912829628,0.01537827400917029,0.10144122302057695,0.5992652176297735,0.013398660133986601,
dca_percentile,45.0,target_positive,42,0.4917307016734533,0.0009421510562820485,0.16121224588177402,0.6840839747719449,0.0012998700129987,
dca_percentile,50.0,OO,42,0.37335467201410816,0.014876120466855693,-0.0049065459802468256,0.6673801282604217,0.014698530146985302,
dca_percentile,50.0,OO_minus_independence,42,0.07127397558715658,0.6537637991631624,-0.10704505576039255,0.26204577712898064,0.6573342665733427,
dca_percentile,50.0,conditional_target_positive,37,0.24981150734363275,0.1359229838450828,-0.11193818682361718,0.5508804119193139,0.136986301369863,
dca_percentile,50.0,source_positive,42,0.27854936175504647,0.07405592192359645,-0.062395645398753814,0.565914474439729,0.0734926507349265,
dca_percentile,50.0,target_positive,42,0.46929909315856383,0.0017170468163978572,0.14952406430976212,0.6670434972320031,0.0017998200179982,
dca_percentile,55.0,OO,42,0.38694826866400117,0.011357449287708073,0.010833937960217215,0.6796212470164019,0.011898810118988102,
dca_percentile,55.0,OO_minus_independence,42,0.06660570634390585,0.675147780478494,-0.12245001004079908,0.25510462127836014,0.6802319768023197,
dca_percentile,55.0,conditional_target_positive,37,0.18614971195049235,0.2699762324766464,-0.1955585503837349,0.5114304936742562,0.26777322267773224,
dca_percentile,55.0,source_positive,42,0.3093194298236808,0.04622796586887567,-0.03262743878619545,0.5887925869313597,0.048595140485951406,
dca_percentile,55.0,target_positive,42,0.48086187327373797,0.0012665365802243189,0.16033142983821436,0.6758407265277867,0.0008999100089991,
dca_percentile,60.0,OO,42,0.33122780180385697,0.03213595527223883,-0.009621358426722503,0.608079307891152,0.0332966703329667,
dca_percentile,60.0,OO_minus_independence,42,0.010742525232869855,0.9461674382809258,-0.21759123644118325,0.18081936210187696,0.9493050694930507,
dca_percentile,60.0,conditional_target_positive,37,0.17641467615327494,0.2962645817530047,-0.18651414871469937,0.4994261927818006,0.3077692230776922,
dca_percentile,60.0,source_positive,42,0.26011227879249993,0.09618798828550296,-0.048091616064932174,0.533266050704643,0.0984901509849015,
dca_percentile,60.0,target_positive,42,0.3906164120993774,0.010539864543992476,0.09053336852286334,0.6118270304477486,0.010498950104989501,
dca_percentile,65.0,OO,42,0.12784296905941098,0.4197631122135557,-0.18835722615506206,0.4633063308272105,0.42385761423857615,
dca_percentile,65.0,OO_minus_independence,42,0.08373980517246937,0.5980229435442553,-0.07952391373743938,0.2744955442095182,0.5992400759924008,
dca_percentile,65.0,conditional_target_positive,35,0.26443153607573605,0.124770588037742,-0.06645435893516022,0.5188435410485266,0.1222877712228777,
dca_percentile,65.0,source_positive,42,0.09179711923742653,0.5631407934324841,-0.2260939065707515,0.40841037995467494,0.5616438356164384,
dca_percentile,65.0,target_positive,42,0.08975926659281816,0.571873447850014,-0.1954836386773774,0.37306366673454683,0.5696430356964304,
dca_percentile,75.0,OO,42,-0.08665614970258327,0.5852886096745721,-0.3616318347923739,0.22794355794297383,0.5855414458554145,
dca_percentile,75.0,OO_minus_independence,42,0.14137814939498905,0.371813310133377,-0.034957955158772064,0.3195362908253156,0.38536146385361464,
dca_percentile,75.0,conditional_target_positive,28,-0.20868643813313142,0.28655557812972743,-0.5770760822477133,0.23047949695148126,0.2893710628937106,
dca_percentile,75.0,source_positive,42,-0.05423373543498154,0.7330140219140775,-0.33689676326956575,0.24847582595471557,0.7387261273872613,
dca_percentile,75.0,target_positive,42,-0.4253869492698219,0.004978900052030765,-0.7325753982691932,-0.03474413477140662,0.0045995400459954,
dca_sd,-0.5,OO,42,0.5711381524432344,7.812532115495558e-05,0.35243357709962636,0.743911769073082,0.00029997000299970003,
dca_sd,-0.5,OO_minus_independence,42,0.05414467595424543,0.7334363694310043,-0.05779223574703081,0.19758336875155247,0.7588241175882412,
dca_sd,-0.5,conditional_target_positive,41,0.46955614593711237,0.001953206412062101,0.16391447539110435,0.6874153838160028,0.0013998600139986002,
dca_sd,-0.5,source_positive,42,0.4386563041462964,0.003662064100575071,0.24878507177494089,0.6196784292987311,0.0040995900409959,
dca_sd,-0.5,target_positive,42,0.4735675575958648,0.0015364773960458813,0.15551934997387354,0.6904837248607846,0.0017998200179982,
dca_sd,-0.35,OO,42,0.5788653412733766,5.920181575986816e-05,0.3441361755448445,0.7555725581278838,9.999000099990002e-05,
dca_sd,-0.35,OO_minus_independence,42,0.06589620812804835,0.6784205052534296,-0.049286062057310044,0.24228095179842402,0.6855314468553144,
dca_sd,-0.35,conditional_target_positive,40,0.42879404189172976,0.005767823294113869,0.11276169436120062,0.6760526813515118,0.0045995400459954,
dca_sd,-0.35,source_positive,42,0.4543056206456916,0.0025089188101282086,0.2529063032094426,0.6479273797759921,0.0028997100289971,
dca_sd,-0.35,target_positive,42,0.47912232022188617,0.0013267700082122277,0.14516093996178753,0.6972233769666671,0.0010998900109989002,
dca_sd,-0.25,OO,42,0.6120499688304832,1.6543262455282036e-05,0.3564242630940991,0.7901490049437885,9.999000099990002e-05,
dca_sd,-0.25,OO_minus_independence,42,0.0743248883292572,0.6399334597041162,-0.04940988607614547,0.24279796292135372,0.6563343665633437,
dca_sd,-0.25,conditional_target_positive,39,0.4112239162783548,0.009302754347511537,0.0570756440678543,0.6809808478700929,0.009499050094990502,
dca_sd,-0.25,source_positive,42,0.47597634877696227,0.001442182810345301,0.25542161529761037,0.6753259464199273,0.0016998300169983002,
dca_sd,-0.25,target_positive,42,0.4927750292618663,0.0009152721677523994,0.13438491660998814,0.7146204051739408,0.0010998900109989002,
dca_sd,-0.15,OO,42,0.6437905831666887,4.235426351828809e-06,0.3976458949040788,0.8007664969255769,9.999000099990002e-05,
dca_sd,-0.15,OO_minus_independence,42,0.07673473651016005,0.629093331879568,-0.06947900823842315,0.2397136466987849,0.6394360563943605,
dca_sd,-0.15,conditional_target_positive,39,0.43620997153094887,0.005502309027957779,0.090611749302062,0.6897699762335486,0.0045995400459954,
dca_sd,-0.15,source_positive,42,0.4775200033008272,0.0013844858240679803,0.2442036587132159,0.6747807810015501,0.0014998500149985001,
dca_sd,-0.15,target_positive,42,0.5525028537393964,0.00014833462293432388,0.24090343631670932,0.7411152391062695,0.00019998000199980003,
dca_sd,-0.1,OO,42,0.644763018547221,4.0522795675650525e-06,0.4072655728203212,0.8065666546528774,9.999000099990002e-05,
dca_sd,-0.1,OO_minus_independence,42,0.10252467000785628,0.5182210721791635,-0.04959320484514703,0.28637870224455536,0.5311468853114688,
dca_sd,-0.1,conditional_target_positive,39,0.4324634992413485,0.0059678540517439016,0.07260562477726715,0.6875764219235322,0.006199380061993801,
dca_sd,-0.1,source_positive,42,0.4821904284528712,0.0012221819902904277,0.2441477477126948,0.681813854981522,0.0015998400159984002,
dca_sd,-0.1,target_positive,42,0.5442266537096491,0.00019485278048511626,0.23885724470085004,0.7383899477573507,0.00029997000299970003,
dca_sd,-0.05,OO,42,0.6101716290341892,1.784998662211364e-05,0.34745457938493274,0.7836142197035041,9.999000099990002e-05,
dca_sd,-0.05,OO_minus_independence,42,0.05610931746081783,0.724137668434639,-0.12059647589042106,0.22028734554493276,0.7315268473152685,
dca_sd,-0.05,conditional_target_positive,39,0.4339660807210464,0.005777207972130131,0.08776577835286475,0.6623647698287178,0.004999500049995001,
dca_sd,-0.05,source_positive,42,0.45856784011303503,0.0022563857263465164,0.2052147569423566,0.6707796714426897,0.0026997300269973002,
dca_sd,-0.05,target_positive,42,0.5218867212828466,0.00039314317169822117,0.21325787399661153,0.7093019982753875,0.0005999400059994001,
dca_sd,0.0,OO,42,0.4003253609504151,0.008614619561931212,0.024712304319554464,0.6887798680868968,0.008999100089991,
dca_sd,0.0,OO_minus_independence,42,0.058922383970511784,0.7108915369191482,-0.1346623288093303,0.2461841168444788,0.718028197180282,
dca_sd,0.0,conditional_target_positive,37,0.27786912989999624,0.09587797873901363,-0.07745118232429234,0.5737635564033639,0.09609039096090391,
dca_sd,0.0,source_positive,42,0.2923965127060592,0.060236751577760095,-0.04085066764111612,0.5740277725192698,0.0603939606039396,
dca_sd,0.0,target_positive,42,0.48100141190644263,0.0012618117912316148,0.1458414511016117,0.6785124455190208,0.0012998700129987,
dca_sd,0.05,OO,42,0.11556376969731846,0.4661337799165485,-0.20827946428617408,0.4297807579077685,0.47255274472552744,
dca_sd,0.05,OO_minus_independence,42,0.11899531382087292,0.45290690541933054,-0.0423982409461297,0.33731343234530603,0.45365463453654636,
dca_sd,0.05,conditional_target_positive,35,0.08999269309166616,0.6071725140577386,-0.30267022087092343,0.47870817027340823,0.6108389161083891,
dca_sd,0.05,source_positive,42,0.10235280809005909,0.5189263957354691,-0.20633443164300597,0.41643660511491304,0.5121487851214879,
dca_sd,0.05,target_positive,42,0.14854540614561426,0.34780538637116903,-0.14979223670926647,0.40307425525318386,0.34526547345265474,
dca_sd,0.1,OO,42,-0.0056202474592346105,0.971821065880242,-0.3154629468077256,0.32540999832167256,0.9712028797120288,
dca_sd,0.1,OO_minus_independence,42,0.11929273298852035,0.451770190026437,-0.04219244574433617,0.31886620896484,0.45645435456454353,
dca_sd,0.1,conditional_target_positive,30,-0.1523177398680638,0.4216663303789042,-0.5041140724933733,0.23710977174725809,0.42375762423757624,
dca_sd,0.1,source_positive,42,0.02506608678995869,0.8747964106312554,-0.28361283741822574,0.3491190182771161,0.8754124587541245,
dca_sd,0.1,target_positive,42,-0.26302991970329537,0.09238183656494084,-0.5411765796453794,0.05978948795754318,0.0923907609239076,
dca_sd,0.15,OO,42,-0.07286573865271721,0.6465334047148076,-0.3680024609753149,0.25440765072584354,0.6535346465353464,
dca_sd,0.15,OO_minus_independence,42,0.14223069655485268,0.36890690505731294,-0.03919702845637104,0.3251593111639629,0.36896310368963103,
dca_sd,0.15,conditional_target_positive,27,-0.4437758412791305,0.020409660156852402,-0.7209256534361752,-0.07216170497773572,0.0235976402359764,
dca_sd,0.15,source_positive,42,-0.018856475654473886,0.9056505651752331,-0.31896971206898506,0.3038108370434195,0.903009699030097,
dca_sd,0.15,target_positive,42,-0.4936931910836665,0.000892207160596721,-0.7597974925776748,-0.12063232537876091,0.000999900009999,
dca_sd,0.25,OO,42,-0.1555983718395408,0.3251299189542082,-0.4099158933856664,0.1478997324375706,0.32226777322267774,
dca_sd,0.25,OO_minus_independence,42,0.14465334198545815,0.3607224040125989,-0.028116964733740025,0.3158716147112944,0.36626337366263373,
dca_sd,0.25,conditional_target_positive,25,-0.37931410977157276,0.06147634672456062,-0.640335037283159,-0.005285581585463406,0.05679432056794321,
dca_sd,0.25,source_positive,42,-0.11852340707342465,0.4547136838267397,-0.38769374538904144,0.18053485009401082,0.45615438456154384,
dca_sd,0.25,target_positive,42,-0.7558069520691721,7.186699286570182e-09,-0.862747061046187,-0.584461465582689,9.999000099990002e-05,
dca_sd,0.35,OO,42,-0.15575983732958304,0.3246218918509754,-0.40629130256940865,0.11331300993792032,0.33726627337266274,
dca_sd,0.35,OO_minus_independence,42,0.0823967564215718,0.6039278181135582,-0.08170303138721227,0.24900801105748024,0.6023397660233977,
dca_sd,0.35,conditional_target_positive,21,-0.17668465238833245,0.4435872051217222,-0.532187246267166,0.1389870113815359,0.44295570442955706,
dca_sd,0.35,source_positive,42,-0.13794359480618404,0.383659672636675,-0.38733663165615,0.13296368123230112,0.38466153384661533,
dca_sd,0.35,target_positive,42,-0.7259703922112176,5.30937293628958e-08,-0.8479054723174688,-0.5162296177131346,9.999000099990002e-05,
dca_sd,0.5,OO,42,-0.16885781789006818,0.28507055140494086,-0.39917879638837334,0.07376446767654285,0.29717028297170284,
dca_sd,0.5,OO_minus_independence,42,0.10184825355462684,0.5209998459163258,-0.036484436328038786,0.2612478090772343,0.5236476352364764,
dca_sd,0.5,conditional_target_positive,20,-0.1753849475928991,0.45954032819897983,-0.47173143764192343,0.14926671063884,0.46365363463653636,
dca_sd,0.5,source_positive,42,-0.15982538591606468,0.3119942920701173,-0.3862417298965697,0.08354304696525008,0.30816918308169183,
dca_sd,0.5,target_positive,42,-0.7416742416205874,1.9168016575247e-08,-0.8530914334722254,-0.5383757571195353,9.999000099990002e-05,
near_zero_exclusion,0.0,OO,42,0.4003253609504151,0.008614619561931212,0.02370584531069555,0.6839796584929526,0.006799320067993201,1.0
near_zero_exclusion,0.025,OO,41,0.48582900629126147,0.001281412212789956,0.14881545108048608,0.7245823605633344,0.0018998100189981002,0.9437604645954958
near_zero_exclusion,0.05,OO,39,0.5432864664075722,0.0003515780134537279,0.2286948097093339,0.7518642838651407,0.0004999500049995,0.8862207821402774
near_zero_exclusion,0.1,OO,36,0.4848025792295974,0.002730378913498917,0.1793344600010851,0.7180563663459896,0.0035996400359964,0.7783194003389876
near_zero_exclusion,0.15,OO,35,0.37157148257008116,0.027965304991669177,0.042215229482447714,0.6416191147337273,0.024997500249975,0.7103516230011017
near_zero_exclusion,0.25,OO,34,0.30922464968325014,0.07515216533538663,-0.023696720082677574,0.5993012924937768,0.07679232076792321,0.5959670924507589
near_zero_exclusion,0.35,OO,31,0.33015053374253095,0.06969242712307153,-0.028739166018990632,0.6366117767309402,0.0715928407159284,0.5018078688221771
near_zero_exclusion,0.5,OO,29,0.4401451146718222,0.016875370510491188,0.08233819010724809,0.7496204297532667,0.018598140185981403,0.38237505470326744
soft_oo,0.025,soft_OO,42,0.4861151148417521,0.001099100126731512,0.23454203030457824,0.6956164585668386,0.0014998500149985001,
soft_oo,0.05,soft_OO,42,0.4446268891295279,0.0031766136751760045,0.20018067009651547,0.6632402004368269,0.0037996200379962005,
soft_oo,0.1,soft_OO,42,0.38631679496395066,0.01150352342264684,0.14694763054519566,0.6166369124668778,0.013098690130986902,
soft_oo,0.2,soft_OO,42,0.33171138531686795,0.03187029657012817,0.09356398822270735,0.5728921480810618,0.0324967503249675,
soft_oo,0.35,soft_OO,42,0.31021184409816416,0.04556964530293088,0.07730974939435706,0.5413499309946328,0.05019498050194981,
