epsilon,run,layer,energy_well_width,delta_u,n_dynamic_fc_windows
0.0,2,Layer 3,0.13287361140104503,2.0,169
0.0,3,Layer 3,0.11626440997591436,2.0,169
0.0,4,Layer 3,0.18270121567643693,2.0,169
0.0,5,Layer 3,0.09965520855078369,2.0,169
0.0,6,Layer 3,0.13287361140104503,2.0,169
0.0,7,Layer 3,0.1494828128261756,2.0,169
0.0,8,Layer 3,0.11626440997591436,2.0,169
0.0,9,Layer 3,0.5148852441790499,2.0,169
0.0,10,Layer 3,0.18270121567643682,2.0,169
0.0,11,Layer 3,0.6145404527298337,2.0,169
0.0,12,Layer 3,0.11626440997591436,2.0,169
0.0,13,Layer 3,0.08304600712565302,2.0,169
0.0,14,Layer 3,0.13287361140104503,2.0,169
0.0,15,Layer 3,0.18270121567643682,2.0,169
0.0,16,Layer 3,0.597931251304703,2.0,169
0.0,17,Layer 3,0.09965520855078369,2.0,169
0.0,18,Layer 3,0.21591961852669828,2.0,169
0.0,19,Layer 3,0.1993104171015675,2.0,169
0.0,20,Layer 3,0.08304600712565302,2.0,169
0.0,21,Layer 3,0.1494828128261756,2.0,169
0.0,22,Layer 3,0.26574722280209007,2.0,169
0.0,23,Layer 3,0.7972416684062708,2.0,169
0.0,24,Layer 3,0.08304600712565302,2.0,169
0.0,25,Layer 3,0.09965520855078369,2.0,169
0.0,26,Layer 3,0.11626440997591436,2.0,169
0.0,27,Layer 3,0.16609201425130615,2.0,169
0.0,28,Layer 3,0.1494828128261756,2.0,169
0.0,29,Layer 3,0.880287675531924,2.0,169
0.0,30,Layer 3,0.11626440997591436,2.0,169
0.0,31,Layer 3,0.09965520855078369,2.0,169
0.0,32,Layer 3,0.11626440997591436,2.0,169
0.0,33,Layer 3,0.13287361140104503,2.0,169
0.0,34,Layer 3,0.11626440997591436,2.0,169
0.0,35,Layer 3,0.13287361140104503,2.0,169
0.0,36,Layer 3,0.09965520855078369,2.0,169
0.0,37,Layer 3,0.08304600712565302,2.0,169
0.0,38,Layer 3,0.4484484384785272,2.0,169
0.0,39,Layer 3,0.78063246698114,2.0,169
0.0,40,Layer 3,0.21591961852669816,2.0,169
0.0,41,Layer 3,0.09965520855078369,2.0,169
0.0,42,Layer 3,0.09965520855078369,2.0,169
0.0,43,Layer 3,1.0131612869329691,2.0,169
0.0,44,Layer 3,0.09965520855078369,2.0,169
0.0,45,Layer 3,0.16609201425130615,2.0,169
0.0,46,Layer 3,0.3155748270774821,2.0,169
0.0,47,Layer 3,0.09965520855078369,2.0,169
0.0,48,Layer 3,0.49827604275391923,2.0,169
0.0,49,Layer 3,0.1494828128261756,2.0,169
0.0,0,Layer 4,0.23411795549711822,2.0,169
0.0,1,Layer 4,0.2341179554971181,2.0,169
0.0,2,Layer 4,0.1638825688479827,2.0,169
0.0,3,Layer 4,0.21070615994740638,2.0,169
0.0,4,Layer 4,0.5618830931930835,2.0,169
0.0,5,Layer 4,0.18729436439769442,2.0,169
0.0,6,Layer 4,0.1638825688479828,2.0,169
0.0,7,Layer 4,0.3745887287953892,2.0,169
0.0,8,Layer 4,0.14047077329827085,2.0,169
0.0,9,Layer 4,0.5618830931930836,2.0,169
0.0,10,Layer 4,0.18729436439769453,2.0,169
0.0,11,Layer 4,0.9130600264387607,2.0,169
0.0,12,Layer 4,0.21070615994740638,2.0,169
0.0,13,Layer 4,0.21070615994740638,2.0,169
0.0,14,Layer 4,0.1638825688479827,2.0,169
0.0,15,Layer 4,0.18729436439769453,2.0,169
0.0,16,Layer 4,0.889648230889049,2.0,169
0.0,17,Layer 4,0.14047077329827085,2.0,169
0.0,18,Layer 4,0.866236435339337,2.0,169
0.0,19,Layer 4,0.23411795549711822,2.0,169
0.0,20,Layer 4,0.21070615994740627,2.0,169
0.0,21,Layer 4,0.18729436439769465,2.0,169
0.0,22,Layer 4,0.3277651376959655,2.0,169
0.0,23,Layer 4,1.0535307997370316,2.0,169
0.0,24,Layer 4,0.117058977748559,2.0,169
0.0,25,Layer 4,0.11705897774855911,2.0,169
0.0,26,Layer 4,0.18729436439769453,2.0,169
0.0,27,Layer 4,0.30435334214625365,2.0,169
0.0,28,Layer 4,0.2809415465965418,2.0,169
0.0,29,Layer 4,0.8896482308890489,2.0,169
0.0,30,Layer 4,0.1638825688479827,2.0,169
0.0,31,Layer 4,0.11705897774855911,2.0,169
0.0,32,Layer 4,0.1638825688479827,2.0,169
0.0,33,Layer 4,0.1638825688479827,2.0,169
0.0,34,Layer 4,0.18729436439769453,2.0,169
0.0,35,Layer 4,0.2341179554971181,2.0,169
0.0,36,Layer 4,0.1638825688479827,2.0,169
0.0,37,Layer 4,0.14047077329827096,2.0,169
0.0,38,Layer 4,0.49164770654394807,2.0,169
0.0,39,Layer 4,1.3110605507838615,2.0,169
0.0,40,Layer 4,0.30435334214625354,2.0,169
0.0,41,Layer 4,0.14047077329827085,2.0,169
0.0,42,Layer 4,0.2341179554971181,2.0,169
0.0,43,Layer 4,1.147177981935879,2.0,169
0.0,44,Layer 4,0.11705897774855911,2.0,169
0.0,45,Layer 4,0.21070615994740638,2.0,169
0.0,46,Layer 4,0.42141231989481265,2.0,169
0.0,47,Layer 4,0.1638825688479827,2.0,169
0.0,48,Layer 4,0.49164770654394796,2.0,169
0.0,49,Layer 4,0.1638825688479827,2.0,169
0.05,0,Layer 1,1.3378738977713098,2.0,169
0.05,1,Layer 1,0.33446847444282757,2.0,169
0.05,2,Layer 1,0.5917519163219256,2.0,169
0.05,3,Layer 1,0.771850325637294,2.0,169
0.05,4,Layer 1,0.28301178606700794,2.0,169
0.05,5,Layer 1,1.2349605210196706,2.0,169
0.05,6,Layer 1,1.4665156187108588,2.0,169
0.05,7,Layer 1,0.6946652930735647,2.0,169
0.05,8,Layer 1,0.257283441879098,2.0,169
0.05,9,Layer 1,0.2830117860670077,2.0,169
0.05,10,Layer 1,1.2092321768317607,2.0,169
0.05,11,Layer 1,0.2058267535032784,2.0,169
0.05,12,Layer 1,0.2315550976911882,2.0,169
0.05,13,Layer 1,1.5437006512745883,2.0,169
0.05,14,Layer 1,0.3859251628186471,2.0,169
0.05,15,Layer 1,0.30874013025491764,2.0,169
0.05,16,Layer 1,0.8747637023889332,2.0,169
0.05,17,Layer 1,1.2092321768317607,2.0,169
0.05,18,Layer 1,1.4407872745229489,2.0,169
0.05,19,Layer 1,0.2315550976911882,2.0,169
0.05,20,Layer 1,0.36019681863073727,2.0,169
0.05,21,Layer 1,0.30874013025491764,2.0,169
0.05,22,Layer 1,0.30874013025491764,2.0,169
0.05,23,Layer 1,0.411653507006557,2.0,169
0.05,24,Layer 1,0.1800984093153687,2.0,169
0.05,25,Layer 1,0.9519487349526626,2.0,169
0.05,26,Layer 1,1.1320471442680313,2.0,169
0.05,27,Layer 1,0.4116535070065569,2.0,169
0.05,28,Layer 1,1.0034054233284824,2.0,169
0.05,29,Layer 1,1.080590455892212,2.0,169
0.05,30,Layer 1,0.30874013025491764,2.0,169
0.05,31,Layer 1,0.7461219814493845,2.0,169
0.05,32,Layer 1,0.12864172093954895,2.0,169
0.05,33,Layer 1,0.257283441879098,2.0,169
0.05,34,Layer 1,0.2315550976911882,2.0,169
0.05,35,Layer 1,0.30874013025491764,2.0,169
0.05,36,Layer 1,1.3378738977713098,2.0,169
0.05,37,Layer 1,0.2058267535032785,2.0,169
0.05,38,Layer 1,1.029133767516392,2.0,169
0.05,39,Layer 1,0.15437006512745866,2.0,169
0.05,40,Layer 1,1.054862111704302,2.0,169
0.05,41,Layer 1,0.18009840931536847,2.0,169
0.05,42,Layer 1,1.0548621117043018,2.0,169
0.05,43,Layer 1,0.2058267535032785,2.0,169
0.05,44,Layer 1,1.0034054233284824,2.0,169
0.05,45,Layer 1,0.20582675350327817,2.0,169
0.05,46,Layer 1,0.2315550976911882,2.0,169
0.05,47,Layer 1,0.18009840931536836,2.0,169
0.05,48,Layer 1,0.8490353582010235,2.0,169
0.05,49,Layer 1,0.6174802605098354,2.0,169
0.05,0,Layer 2,0.6145984229582085,2.0,169
0.05,1,Layer 2,0.2633993241249465,2.0,169
0.05,2,Layer 2,0.2633993241249465,2.0,169
0.05,3,Layer 2,1.2950466769476536,2.0,169
0.05,4,Layer 2,0.1536496057395521,2.0,169
0.05,5,Layer 2,0.9438475781143916,2.0,169
0.05,6,Layer 2,0.6584983103123663,2.0,169
0.05,7,Layer 2,0.35119909883326195,2.0,169
0.05,8,Layer 2,0.1536496057395521,2.0,169
0.05,9,Layer 2,0.19754949309370984,2.0,169
0.05,10,Layer 2,0.9657975217914705,2.0,169
0.05,11,Layer 2,0.15364960573955222,2.0,169
0.05,12,Layer 2,0.19754949309370984,2.0,169
0.05,13,Layer 2,0.6145984229582084,2.0,169
0.05,14,Layer 2,0.32924915515618314,2.0,169
0.05,15,Layer 2,0.15364960573955222,2.0,169
0.05,16,Layer 2,0.32924915515618314,2.0,169
0.05,17,Layer 2,1.1852969585622595,2.0,169
0.05,18,Layer 2,0.899947690760234,2.0,169
0.05,19,Layer 2,0.17559954941663092,2.0,169
0.05,20,Layer 2,0.21949943677078876,2.0,169
0.05,21,Layer 2,0.1536496057395521,2.0,169
0.05,22,Layer 2,0.2633993241249466,2.0,169
0.05,23,Layer 2,0.4389988735415775,2.0,169
0.05,24,Layer 2,0.19754949309370984,2.0,169
0.05,25,Layer 2,0.8121479160519184,2.0,169
0.05,26,Layer 2,0.9438475781143916,2.0,169
0.05,27,Layer 2,0.2853492678020253,2.0,169
0.05,28,Layer 2,0.48289876089573536,2.0,169
0.05,29,Layer 2,0.5706985356040508,2.0,169
0.05,30,Layer 2,0.2633993241249465,2.0,169
0.05,31,Layer 2,0.8121479160519184,2.0,169
0.05,32,Layer 2,0.15364960573955222,2.0,169
0.05,33,Layer 2,0.1316996620624733,2.0,169
0.05,34,Layer 2,0.1316996620624733,2.0,169
0.05,35,Layer 2,0.19754949309370984,2.0,169
0.05,36,Layer 2,0.899947690760234,2.0,169
0.05,37,Layer 2,0.17559954941663103,2.0,169
0.05,38,Layer 2,1.0755472401768649,2.0,169
0.05,39,Layer 2,0.1316996620624733,2.0,169
0.05,40,Layer 2,0.9657975217914705,2.0,169
0.05,41,Layer 2,0.1316996620624733,2.0,169
0.05,42,Layer 2,0.8779977470831549,2.0,169
0.05,43,Layer 2,0.17559954941663092,2.0,169
0.05,44,Layer 2,0.5926484792811296,2.0,169
0.05,45,Layer 2,0.15364960573955222,2.0,169
0.05,46,Layer 2,0.17559954941663103,2.0,169
0.05,47,Layer 2,0.1316996620624733,2.0,169
0.05,48,Layer 2,0.8999476907602338,2.0,169
0.05,49,Layer 2,0.3950989861874197,2.0,169
0.05,0,Layer 3,0.6232133454457777,2.0,169
0.05,1,Layer 3,0.2492853381783111,2.0,169
0.05,2,Layer 3,0.3947017854489926,2.0,169
0.05,3,Layer 3,0.9971413527132442,2.0,169
0.05,4,Layer 3,0.14541644727068148,2.0,169
0.05,5,Layer 3,0.8932724618056147,2.0,169
0.05,6,Layer 3,0.7478560145349331,2.0,169
0.05,7,Layer 3,0.3323804509044148,2.0,169
0.05,8,Layer 3,0.20773778181525915,2.0,169
0.05,9,Layer 3,0.20773778181525915,2.0,169
0.05,10,Layer 3,0.8932724618056147,2.0,169
0.05,11,Layer 3,0.1661902254522073,2.0,169
0.05,12,Layer 3,0.18696400363373322,2.0,169
0.05,13,Layer 3,0.5816657890827258,2.0,169
0.05,14,Layer 3,0.35315422908594074,2.0,169
0.05,15,Layer 3,0.1661902254522073,2.0,169
0.05,16,Layer 3,0.37392800726746667,2.0,169
0.05,17,Layer 3,1.2048791345285035,2.0,169
0.05,18,Layer 3,0.9971413527132442,2.0,169
0.05,19,Layer 3,0.20773778181525915,2.0,169
0.05,20,Layer 3,0.18696400363373322,2.0,169
0.05,21,Layer 3,0.20773778181525926,2.0,169
0.05,22,Layer 3,0.20773778181525915,2.0,169
0.05,23,Layer 3,0.27005911635983704,2.0,169
0.05,24,Layer 3,0.1661902254522073,2.0,169
0.05,25,Layer 3,0.6855346799903554,2.0,169
0.05,26,Layer 3,1.0594626872578221,2.0,169
0.05,27,Layer 3,0.27005911635983704,2.0,169
0.05,28,Layer 3,0.4154755636305184,2.0,169
0.05,29,Layer 3,0.540118232719674,2.0,169
0.05,30,Layer 3,0.3323804509044148,2.0,169
0.05,31,Layer 3,0.6024395672642517,2.0,169
0.05,32,Layer 3,0.10386889090762952,2.0,169
0.05,33,Layer 3,0.14541644727068137,2.0,169
0.05,34,Layer 3,0.14541644727068137,2.0,169
0.05,35,Layer 3,0.18696400363373322,2.0,169
0.05,36,Layer 3,1.080236465439348,2.0,169
0.05,37,Layer 3,0.14541644727068137,2.0,169
0.05,38,Layer 3,1.1010102436208737,2.0,169
0.05,39,Layer 3,0.12464266908915556,2.0,169
