Subject,RegionID,node,threshold_type,threshold_value,measure,value
12,43,rIPN,dca_sd,-0.5,source_positive,
12,44,rIO,dca_sd,-0.5,source_positive,
12,45,rHc,dca_sd,-0.5,source_positive,
12,46,rRa,dca_sd,-0.5,source_positive,0.0
12,47,rT,dca_sd,-0.5,source_positive,0.18784228345625964
12,48,raRF,dca_sd,-0.5,source_positive,0.0
12,49,rimRF,dca_sd,-0.5,source_positive,0.0
12,50,rpRF,dca_sd,-0.5,source_positive,0.0
12,51,rGG,dca_sd,-0.5,source_positive,
12,52,rHb,dca_sd,-0.5,source_positive,1.0
12,53,rHi,dca_sd,-0.5,source_positive,1.0
12,54,rHR,dca_sd,-0.5,source_positive,
12,55,rOG,dca_sd,-0.5,source_positive,
12,56,rOB,dca_sd,-0.5,source_positive,
12,57,rOE,dca_sd,-0.5,source_positive,
12,58,rP,dca_sd,-0.5,source_positive,1.0
12,59,rPi,dca_sd,-0.5,source_positive,
12,60,rPT,dca_sd,-0.5,source_positive,1.0
12,61,rPO,dca_sd,-0.5,source_positive,1.0
12,62,rPrT,dca_sd,-0.5,source_positive,1.0
12,63,rR,dca_sd,-0.5,source_positive,
12,64,rSP,dca_sd,-0.5,source_positive,1.0
12,65,rTeO,dca_sd,-0.5,source_positive,1.0
12,66,rTh,dca_sd,-0.5,source_positive,1.0
12,67,rTL,dca_sd,-0.5,source_positive,1.0
12,68,rTS,dca_sd,-0.5,source_positive,
12,69,rTG,dca_sd,-0.5,source_positive,
12,70,rVR,dca_sd,-0.5,source_positive,1.0
12,71,rNX,dca_sd,-0.5,source_positive,0.0
12,0,MON,dca_sd,-0.5,target_positive,0.8317126517839434
12,1,Cb,dca_sd,-0.5,target_positive,0.48976274101522305
12,2,MOS1,dca_sd,-0.5,target_positive,0.5291929834052395
12,3,MOS2,dca_sd,-0.5,target_positive,0.7292262439741809
12,4,MOS3,dca_sd,-0.5,target_positive,0.41038781811782776
12,5,MOS4,dca_sd,-0.5,target_positive,0.5366816508012968
12,6,MOS5,dca_sd,-0.5,target_positive,0.7307819672716395
12,7,IPN,dca_sd,-0.5,target_positive,1.0
12,8,IO,dca_sd,-0.5,target_positive,
12,9,Hc,dca_sd,-0.5,target_positive,
12,10,Ra,dca_sd,-0.5,target_positive,0.6694138903857736
12,11,T,dca_sd,-0.5,target_positive,0.41937462709115075
12,12,aRF,dca_sd,-0.5,target_positive,0.5998238627661204
12,13,imRF,dca_sd,-0.5,target_positive,0.42908139928007477
12,14,pRF,dca_sd,-0.5,target_positive,0.4704699005541638
12,15,GG,dca_sd,-0.5,target_positive,
12,16,Hb,dca_sd,-0.5,target_positive,0.8627336788771767
