Subject,RegionID,node,temperature_sd,soft_OO
12,1,Cb,0.1,0.31036914996111237
12,2,MOS1,0.1,0.06425172034534424
12,3,MOS2,0.1,3.4312015690274375e-14
12,4,MOS3,0.1,0.3090778651289902
12,5,MOS4,0.1,0.33515093361249604
12,6,MOS5,0.1,0.3564168068859896
12,7,IPN,0.1,0.15444578576492513
12,8,IO,0.1,
12,9,Hc,0.1,
12,10,Ra,0.1,0.0004282369421462571
12,11,T,0.1,0.29858063434062326
12,12,aRF,0.1,7.754668513463433e-05
12,13,imRF,0.1,4.5075243330282346e-07
12,14,pRF,0.1,0.0004771691937777431
12,15,GG,0.1,
12,16,Hb,0.1,0.4055324256184928
12,17,Hi,0.1,0.23751652224182185
12,18,HR,0.1,
12,19,OG,0.1,
12,20,OB,0.1,0.3470932437857684
12,21,OE,0.1,0.4461696447582296
12,22,P,0.1,0.3806455262184808
12,23,Pi,0.1,
12,24,PT,0.1,0.5002111988866937
12,25,PO,0.1,0.4645584353222224
12,26,PrT,0.1,0.0005619858869893318
12,27,R,0.1,
12,28,SP,0.1,0.3843799322545835
12,29,TeO,0.1,0.20839474120945273
12,30,Th,0.1,0.1273519599999864
12,31,TL,0.1,0.34180491063301
12,32,TS,0.1,0.27272873307381335
12,33,TG,0.1,
12,34,VR,0.1,0.3688140874583502
12,35,NX,0.1,6.136693107829757e-09
12,36,rMON,0.1,0.4407697051393886
12,37,rCb,0.1,0.37000311159981125
12,38,rMOS1,0.1,0.21594495047654655
12,39,rMOS2,0.1,3.654756005684008e-16
12,40,rMOS3,0.1,0.22593055139119717
12,41,rMOS4,0.1,0.285892500110649
12,42,rMOS5,0.1,0.2768266684148955
12,43,rIPN,0.1,
12,44,rIO,0.1,
12,45,rHc,0.1,
12,46,rRa,0.1,0.0012671288869247018
12,47,rT,0.1,0.061199813510882974
12,48,raRF,0.1,3.744526236420758e-05
12,49,rimRF,0.1,0.0010544612531309752
12,50,rpRF,0.1,4.069752641984163e-06
12,51,rGG,0.1,
12,52,rHb,0.1,0.24566529958969177
12,53,rHi,0.1,0.14417407709809338
12,54,rHR,0.1,
12,55,rOG,0.1,
12,56,rOB,0.1,
12,57,rOE,0.1,
12,58,rP,0.1,0.4304846595523356
12,59,rPi,0.1,
12,60,rPT,0.1,0.06918638011649351
12,61,rPO,0.1,0.4897679699380863
12,62,rPrT,0.1,0.21678587384688758
12,63,rR,0.1,
12,64,rSP,0.1,0.29187938034651534
12,65,rTeO,0.1,0.18654250171568912
12,66,rTh,0.1,0.34450360523273416
12,67,rTL,0.1,0.20896354687897117
12,68,rTS,0.1,
12,69,rTG,0.1,
12,70,rVR,0.1,0.3328999043181399
12,71,rNX,0.1,7.131898152776539e-15
12,0,MON,0.2,0.4938979902899937
12,1,Cb,0.2,0.29235237610792153
12,2,MOS1,0.2,0.07061416577547769
12,3,MOS2,0.2,1.3508597060207586e-07
12,4,MOS3,0.2,0.29619282039542766
12,5,MOS4,0.2,0.35003811162645837
12,6,MOS5,0.2,0.37903437041117755
12,7,IPN,0.2,0.18765317493114578
12,8,IO,0.2,
12,9,Hc,0.2,
12,10,Ra,0.2,0.01456375895429919
12,11,T,0.2,0.2726398836858327
12,12,aRF,0.2,0.00531556382224161
12,13,imRF,0.2,0.00039346708347409715
12,14,pRF,0.2,0.012811309996373593
12,15,GG,0.2,
12,16,Hb,0.2,0.3366526283170258
12,17,Hi,0.2,0.2437249951049882
12,18,HR,0.2,
12,19,OG,0.2,
12,20,OB,0.2,0.310116456099128
12,21,OE,0.2,0.3710995860572851
12,22,P,0.2,0.3034042452655522
12,23,Pi,0.2,
12,24,PT,0.2,0.42493566887056905
12,25,PO,0.2,0.3831133329809892
12,26,PrT,0.2,0.016719699335140392
12,27,R,0.2,
12,28,SP,0.2,0.30078780946734984
12,29,TeO,0.2,0.21064312012879458
12,30,Th,0.2,0.16042670990369548
12,31,TL,0.2,0.3314390035801378
12,32,TS,0.2,0.25794479887906
12,33,TG,0.2,
12,34,VR,0.2,0.3608887618480214
