legacy_order,root_area_id,node,anatomy_group,EdgeStdFCV,RegionID,OO,OO_minus_independence,conditional_target_positive,source_positive,target_positive
1,20,OB,Tel,0.3671760353642188,20,0.0,0.0,,0.0,0.8888888888888888
2,1,Cb,Hind,0.3153132765626386,1,0.34901680291510323,-0.005756468884543112,0.4930116901627623,0.7127444273417994,0.4940590819360029
3,16,Hb,Di,0.3425851700633502,16,0.3331747710387568,0.0,0.7774077990904326,0.42857142857142855,0.7675273268748678
4,0,MON,Hind,0.3147048627913153,0,0.5518234308570565,0.0,0.5518234308570565,1.0,0.5518234308570565
5,2,MOS1,Hind,0.3295841016803318,2,0.24347338867487567,-0.00978319231024916,0.43703439058533416,0.5608101938387331,0.4425675031000638
6,3,MOS2,Hind,0.3184847973253438,3,0.06029302015004517,0.0,0.4220511410503162,0.14285714285714285,0.5324026599594234
7,4,MOS3,Hind,0.3427450380559997,4,0.32065334852706606,-0.005038846023340417,0.3562288807681061,0.8856087962092588,0.36584985884592885
8,5,MOS4,Hind,0.3174002983031145,5,0.39240362722388145,-0.005288960044021669,0.40616826619670104,0.9681298595578157,0.41211977590231214
9,6,MOS5,Hind,0.3245294208743777,6,0.4447143330661873,-0.0037822103726594274,0.45897229803969325,0.9603291492654575,0.46336232003295663
10,35,NX,Hind,0.3049761517065482,35,0.20675052963102555,0.0,0.7236268537085895,0.2857142857142857,0.5844488397957078
11,22,P,Tel,0.3602381175127078,22,0.28507430713094845,0.00025895625642009514,0.680534867092117,0.435008889425656,0.728541302443278
12,25,PO,Tel,0.3514208021642843,25,0.5159587552446859,0.0,0.5159587552446859,1.0,0.5159587552446859
13,24,PT,Di,0.322795893233018,24,0.18511088235117787,0.0,0.4319253921527484,0.42857142857142855,0.4954647034409989
14,26,PrT,Di,0.3195078728259496,26,0.07567871541797744,0.0,0.5297510079258421,0.14285714285714285,0.534514030790396
15,10,Ra,Hind,0.325095844242473,10,0.0,0.0,,0.0,0.4966327002713391
16,28,SP,Tel,0.3680116091256103,28,0.5928121851476214,0.0,0.5928121851476214,1.0,0.5928121851476214
17,11,T,Mes,0.327488469949286,11,0.27334697399111046,-0.0010511993409581374,0.3340137779130647,0.8204508079676435,0.3535015483359038
18,32,TS,Mes,0.3187393710390141,32,0.358981311174492,0.0,0.418811529703574,0.8571428571428571,0.3887577961714302
19,29,TeO,Mes,0.3211845665649819,29,0.2913677716720571,-0.0035090512330336727,0.41795718831633816,0.6935666678167804,0.42238108922468004
20,30,Th,Di,0.3286946724177474,30,0.20195891751434328,-0.005169273297259037,0.5128720316693007,0.3897981340819,0.5429886935486037
21,37,rCb,Hind,0.3173516428863684,37,0.31411952562745504,-0.008027690470470944,0.5428250799552321,0.5946393982946094,0.5625357057832602
22,52,rHb,Di,0.3569570426471103,52,0.2944984476624962,0.0,0.5153722834093684,0.5714285714285714,0.6669561601730926
23,36,rMON,Hind,0.3151442719997252,36,0.5436463547482934,0.005249833144936576,0.5695121106790281,0.9527516661919105,0.5616678945338652
24,38,rMOS1,Hind,0.3252162396870897,38,0.25401743697918505,-0.03337833468463673,0.3824365023652557,0.6401308683984587,0.43898024091590787
25,39,rMOS2,Hind,0.3109917860824364,39,0.15828614358388185,0.0,0.5540015025435865,0.2857142857142857,0.5425723175460991
26,40,rMOS3,Hind,0.3336398480067393,40,0.2890669596296617,-0.0015277959501923389,0.3538851588092826,0.8115824794561071,0.3548873496623612
27,41,rMOS4,Hind,0.3112084944032485,41,0.3652234134489708,-0.006440078431834607,0.39643311329135084,0.9164184794663159,0.40398604155099566
28,42,rMOS5,Hind,0.3227070254352224,42,0.37978330629896356,-0.0032663535918700803,0.44734618655859304,0.8447334631168483,0.4522640000606062
29,71,rNX,Hind,0.3057767917003242,71,0.1829769891717816,0.0,0.6404194621012356,0.2857142857142857,0.58178493833269
30,58,rP,Tel,0.3615916845407643,58,0.6033171511487962,-0.00048604796769423163,0.6315897731078914,0.9537737809055764,0.6319574652589638
31,61,rPO,Tel,0.3592067125583424,61,0.4919038878552156,0.0,0.4919038878552156,1.0,0.4919038878552156
32,60,rPT,Di,0.3381307525751053,60,0.0,0.0,,0.0,0.46652953932966634
33,62,rPrT,Di,0.3316452819795608,62,0.27667221228400746,0.0,0.4841763714970131,0.5714285714285714,0.504597553113876
34,46,rRa,Hind,0.325646798313019,46,0.0,0.0,,0.0,0.47067437804921813
35,64,rSP,Tel,0.3707708274360314,64,0.6599316822942596,0.0,0.6599316822942596,1.0,0.6599316822942596
36,47,rT,Mes,0.3282912645901117,47,0.20425900381522336,-0.011978272302673038,0.4029169080072105,0.5085061661851403,0.43280907326668167
37,68,rTS,Mes,0.2964189996255963,68,0.227981268354117,0.0,0.455962536708234,0.5,0.5252327858278729
38,65,rTeO,Mes,0.332032846214792,65,0.264698116187173,-0.00412384369463556,0.48643652529672793,0.5396223537341432,0.48100336691219603
39,66,rTh,Di,0.3476003744539429,66,0.3887630143716881,-0.008370556419433564,0.44349477319079017,0.8829058595590844,0.4571482217780472
40,48,raRF,Hind,0.2979164304441501,48,0.054441393690944716,0.0,0.38108975583661303,0.14285714285714285,0.4462068852355875
41,49,rimRF,Hind,0.3029837656647399,49,0.0,0.0,,0.0,0.3910740271745164
42,50,rpRF,Hind,0.3229966092212404,50,0.027001978706900746,-0.0020554231835365993,0.2050234567065882,0.13170189958090325,0.4574148847824194
