condition,root_area_id,replicate,FCV,source_file
NULL-In,28,7,0.2919688177376754,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,8,0.042730645837727836,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,9,0.416586695953777,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,10,0.259593576364914,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,11,0.3870632007553816,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,12,0.8869544237377414,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,13,0.4460498338410349,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,14,0.2773375429959724,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,15,-0.08671122344114213,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,16,-0.2779262136001607,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,17,-0.39114888392736413,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,18,-0.5347300118304649,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,19,0.1830432496767769,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,20,0.4239765285940352,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,21,0.8979572899285166,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,22,-0.4330930682096749,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,23,-0.8191855984153631,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,28,24,-0.44474716443512213,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
Base,22,0,0.5821719056122611,tfigure5_compare_xy_scatter_data.pkl
Base,22,1,0.49197290214728495,tfigure5_compare_xy_scatter_data.pkl
Base,22,2,0.6118749141161112,tfigure5_compare_xy_scatter_data.pkl
Base,22,3,0.025095955560234248,tfigure5_compare_xy_scatter_data.pkl
Base,22,4,1.347701788317798,tfigure5_compare_xy_scatter_data.pkl
Base,22,5,0.2832286580408384,tfigure5_compare_xy_scatter_data.pkl
Base,22,6,0.7692938419989965,tfigure5_compare_xy_scatter_data.pkl
Base,22,7,-0.19418533360406848,tfigure5_compare_xy_scatter_data.pkl
Base,22,8,0.7989190135688812,tfigure5_compare_xy_scatter_data.pkl
Base,22,9,0.9217388826968782,tfigure5_compare_xy_scatter_data.pkl
Base,22,10,1.2510472543161186,tfigure5_compare_xy_scatter_data.pkl
Base,22,11,0.7955712835147785,tfigure5_compare_xy_scatter_data.pkl
Base,22,12,-0.15793422240469468,tfigure5_compare_xy_scatter_data.pkl
Base,22,13,-0.10139338081058842,tfigure5_compare_xy_scatter_data.pkl
Base,22,14,1.6599058873493715,tfigure5_compare_xy_scatter_data.pkl
Base,22,15,0.3263626448614227,tfigure5_compare_xy_scatter_data.pkl
Base,22,16,1.4888154778983895,tfigure5_compare_xy_scatter_data.pkl
Base,22,17,1.100042079990812,tfigure5_compare_xy_scatter_data.pkl
Base,22,18,1.2424276617085315,tfigure5_compare_xy_scatter_data.pkl
Base,22,19,1.138343832292532,tfigure5_compare_xy_scatter_data.pkl
Base,22,20,0.8709049392119169,tfigure5_compare_xy_scatter_data.pkl
Base,22,21,1.4397958481595636,tfigure5_compare_xy_scatter_data.pkl
Base,22,22,1.3461077935005046,tfigure5_compare_xy_scatter_data.pkl
Base,22,23,-0.4751523932889441,tfigure5_compare_xy_scatter_data.pkl
Base,22,24,-0.5305744800247288,tfigure5_compare_xy_scatter_data.pkl
Base,22,25,3.0597614727380265,tfigure5_compare_xy_scatter_data.pkl
Base,22,26,0.8514667970286478,tfigure5_compare_xy_scatter_data.pkl
Base,22,27,1.098083951893829,tfigure5_compare_xy_scatter_data.pkl
Base,22,28,1.056913538717791,tfigure5_compare_xy_scatter_data.pkl
Base,22,29,1.8968086941143274,tfigure5_compare_xy_scatter_data.pkl
Base,22,30,1.256745021815396,tfigure5_compare_xy_scatter_data.pkl
Base,22,31,1.748515505331758,tfigure5_compare_xy_scatter_data.pkl
Base,22,32,1.9003150294735787,tfigure5_compare_xy_scatter_data.pkl
Base,22,33,0.5797695060808897,tfigure5_compare_xy_scatter_data.pkl
Base,22,34,0.711957906830125,tfigure5_compare_xy_scatter_data.pkl
Base,22,35,1.8285263887111207,tfigure5_compare_xy_scatter_data.pkl
Base,22,36,-0.17154866114184728,tfigure5_compare_xy_scatter_data.pkl
Base,22,37,-0.8349861002446874,tfigure5_compare_xy_scatter_data.pkl
Base,22,38,0.2505246517060771,tfigure5_compare_xy_scatter_data.pkl
Base,22,39,1.3395929215598779,tfigure5_compare_xy_scatter_data.pkl
NULL-Out,22,0,-0.2781596372330465,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,1,0.683434154531366,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,2,0.5940513816928173,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,3,0.2690921584732662,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,4,0.8165722946687201,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,5,0.9374766765219451,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,6,0.4629179529516712,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,7,0.9883653539489166,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,8,0.06289958868514162,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,9,-0.1254892652212489,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,10,0.6057260778750854,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,11,1.2225402308184576,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,12,0.411150382941093,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,13,-0.12057072779065987,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,14,-0.3840951558946359,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,15,0.2185359368190984,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,16,-0.15977203329257234,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,17,-0.007799282094269072,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,18,1.4481635890428783,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,19,-0.03754208862358464,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,20,0.5696683771475559,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,21,0.3825671393342185,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,22,0.5647235230053985,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,23,1.0833696025956923,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,24,-0.36063399063481555,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,25,-0.4473791188088575,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,26,-1.9055195277252934,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,27,-0.28408277503592044,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,28,-0.6590964696764053,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,29,-0.6052638320068078,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,30,-1.1750840596314833,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,31,0.1746480133222806,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,32,0.6153412643087995,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,33,-0.174437200543731,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,22,34,-0.032748393752531926,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-In,22,0,0.9898558727924652,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,1,-0.08462806794504558,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,2,0.07411630186639928,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,3,-0.16441700238907356,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,4,-0.11334235164273716,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,5,-0.0819368363493359,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,6,0.38747612588784275,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,7,0.4976964348319051,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,8,0.7298374765152525,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,9,-0.12717946925939635,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,10,0.714321378199799,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,11,0.858380254289873,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,12,0.5807042821335657,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,13,0.800556170409352,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,14,0.15815116103915114,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,15,1.1039905110949295,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,16,0.5555994864282925,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,17,0.0972962668021233,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,18,0.8283446422222027,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,19,0.4998374892702862,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,20,0.1551249945674339,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,21,0.9061996432515252,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,22,0.4386517482762141,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,23,0.8682348439923174,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,24,1.256549899610009,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,25,-1.3881895826019492,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,26,-1.412124310052903,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,27,-1.1577278712977521,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,28,-1.6497889018231688,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,29,-1.1670501687909636,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,30,1.5802590404025152,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,31,1.8164335211914096,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,32,1.8704278061419108,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,33,1.3101675496514227,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,22,34,1.8522336439896205,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
Base,64,0,0.7169311314497474,tfigure5_compare_xy_scatter_data.pkl
Base,64,1,0.2799442961027121,tfigure5_compare_xy_scatter_data.pkl
Base,64,2,0.28561679177550586,tfigure5_compare_xy_scatter_data.pkl
Base,64,3,1.743210381135998,tfigure5_compare_xy_scatter_data.pkl
Base,64,4,-0.6298394836286938,tfigure5_compare_xy_scatter_data.pkl
Base,64,5,2.31461321805171,tfigure5_compare_xy_scatter_data.pkl
Base,64,6,1.0117988358474588,tfigure5_compare_xy_scatter_data.pkl
Base,64,7,0.6194434654803066,tfigure5_compare_xy_scatter_data.pkl
Base,64,8,1.1836321526717106,tfigure5_compare_xy_scatter_data.pkl
Base,64,9,1.3445102415733268,tfigure5_compare_xy_scatter_data.pkl
Base,64,10,1.9471784505020422,tfigure5_compare_xy_scatter_data.pkl
Base,64,11,-0.10335940194247523,tfigure5_compare_xy_scatter_data.pkl
Base,64,12,0.0363158465063906,tfigure5_compare_xy_scatter_data.pkl
Base,64,13,1.6788814355263986,tfigure5_compare_xy_scatter_data.pkl
Base,64,14,0.8099066289117524,tfigure5_compare_xy_scatter_data.pkl
Base,64,15,1.690274171101679,tfigure5_compare_xy_scatter_data.pkl
Base,64,16,0.5371540364103153,tfigure5_compare_xy_scatter_data.pkl
Base,64,17,1.1187546659983343,tfigure5_compare_xy_scatter_data.pkl
Base,64,18,0.7729620065437999,tfigure5_compare_xy_scatter_data.pkl
Base,64,19,0.8582993374982097,tfigure5_compare_xy_scatter_data.pkl
Base,64,20,2.1091011797357453,tfigure5_compare_xy_scatter_data.pkl
Base,64,21,0.9729206861725558,tfigure5_compare_xy_scatter_data.pkl
Base,64,22,0.13533697436077669,tfigure5_compare_xy_scatter_data.pkl
Base,64,23,0.4736828191962703,tfigure5_compare_xy_scatter_data.pkl
Base,64,24,1.9428218848650771,tfigure5_compare_xy_scatter_data.pkl
Base,64,25,0.20150203021306345,tfigure5_compare_xy_scatter_data.pkl
Base,64,26,0.5715987943379272,tfigure5_compare_xy_scatter_data.pkl
Base,64,27,1.3363245244249362,tfigure5_compare_xy_scatter_data.pkl
Base,64,28,0.6020551225319648,tfigure5_compare_xy_scatter_data.pkl
Base,64,29,-0.21058284330559854,tfigure5_compare_xy_scatter_data.pkl
NULL-Out,64,0,-0.22867065877445186,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,1,1.1267413534078288,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,2,0.49268676543282097,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,3,0.20871797713493073,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,4,1.7987135088511625,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,5,0.5028274717067976,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,6,1.343751491782324,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,7,0.1940507994196419,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,8,0.1980574810205432,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,9,0.15333506794737445,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,10,0.10056432215053242,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,11,0.2252463806189108,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,12,0.1403138144427738,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,13,0.18522298936166362,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,14,0.41830065780239883,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,15,-0.3935071112223964,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,16,-0.21858410420203755,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,17,-0.37131677690778203,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,18,0.40837378330547897,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,19,0.8095449028338869,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,20,3.81266659147895,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,21,1.2681243234347166,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,22,0.9974420381290092,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,23,1.5222395654872654,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-Out,64,24,0.39811315031618855,wsim_fc_null_p_sp_in_fc_mean_std_data.pkl
NULL-In,64,0,1.1572537005838641,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,1,1.0061431734758437,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,2,0.20095608976069163,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,3,1.7978348422141104,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,4,0.09022939921592989,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,5,0.07463316705210969,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,6,1.302206204000252,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,7,0.20701409840648607,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,8,0.08245660717947408,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,9,0.3943965288438748,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,10,1.1361460965196133,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
NULL-In,64,11,0.8826746591106606,wsim_fc_null_p_sp_out_fc_mean_std_data.pkl
