root_area_id,node,anatomy_group,n_subjects,OO_fraction,PostDCA,PreDCA,Modularity,LogOutIn,complete_five_measures
0,MON,Hind,7,0.12914324193714025,-0.0103798661957588,-0.0029958404205989,0.34660425510688064,0.9083099979119252,True
1,Cb,Hind,7,0.15192875582843537,-0.014129718453126428,0.0007654654467577571,0.5894824488952233,0.437281474578542,True
2,MOS1,Hind,7,0.20459604562779113,-0.010671458958557473,0.005613431173746829,0.28049247403919897,-0.4786620740229192,True
3,MOS2,Hind,7,0.15819646535163262,-0.011455358257509015,0.010455358577965257,0.604892451937511,-0.25678747715096,True
4,MOS3,Hind,7,0.18082484575612293,-0.01621848456782266,0.0025470112460717143,0.4760763583506797,1.7533912679126156,True
5,MOS4,Hind,7,0.1303973808626839,-0.009156762508968557,0.00104036332290126,0.5919860434666921,1.2450244121694045,True
6,MOS5,Hind,7,0.15608748569653336,-0.009735658694827828,0.0017982576334797142,0.5357683671442703,0.704180490539106,True
7,IPN,Hind,7,0.17535101811624323,-0.015895002029764616,0.0015859187330951859,0.6060321149503876,-1.1233387655957234,True
8,IO,Hind,7,0.07142857142857141,-0.0004391125799734908,-0.0105457816355841,0.4045503540208062,-1.9698928486128509,True
9,Hc,Di,6,0.06418089756813272,-0.011789953704738216,0.00028374093978023024,0.6620191415292939,0.5767943000164737,True
10,Ra,Hind,7,0.17849806944583002,-0.013539836259577174,0.010127743079144115,0.5839970169671993,-1.1593430526917246,True
11,T,Mes,7,0.19186677688430048,-0.017671115638546845,-0.0033836377079665145,0.6361912717747943,1.090470584465815,True
12,aRF,Hind,7,0.14818388784409214,-0.01555448225737453,-0.0021098160513422855,0.6220537428457079,0.5974968750454028,True
13,imRF,Hind,7,0.17095906360847918,-0.023134597488195557,0.0029767991553869286,0.550191354527182,-0.1905072066896464,True
14,pRF,Hind,7,0.20783203806887837,-0.016706178993622627,0.008123484230271571,0.5343392437209784,-1.2347171946060145,True
16,Hb,Di,7,0.35252438402940334,0.018636356785083612,0.0003020124546751286,0.6317038787508362,5.806532607252073,True
17,Hi,Di,7,0.12685049418852007,-0.0210191304982299,-0.002154023767303957,0.7262229014662779,1.599328359744397,True
18,HR,Di,6,0.2190673340289396,-0.012471333016970483,-0.003847232025394533,0.6484354695798246,-0.6111663423618172,True
19,OG,Tel,7,0.03929846051277436,-0.0012500041182976801,-0.0013480528812130194,0.5314952695186931,0.7564821675327889,True
20,OB,Tel,7,0.18827202258185372,-0.003929339519691423,0.0023384373845507754,0.6735681756112132,0.15820034642864375,True
21,OE,Tel,6,0.0,-0.0040910391460351764,0.00048167611198642946,0.6882954843394853,-0.08207941418296567,True
22,P,Tel,7,0.21251830592298543,0.0007819844131355857,-0.03412824143599904,0.7581080686975964,0.7058966470752593,True
24,PT,Di,7,0.2100468296937644,-0.0075546111624816715,-0.004858454781386743,0.6234460995089949,-0.8475967756816475,True
25,PO,Tel,7,0.27998957566582067,0.0075907535632395145,0.006659913773480799,0.6836877882484363,0.40737255970614866,True
26,PrT,Di,7,0.1343457818382932,-0.0198879918570197,-0.0019456305543847,0.5736291959777636,-0.4195461466094096,True
28,SP,Tel,7,0.2632439277764694,0.004549345780713904,-0.025774989736559274,0.6510959071704862,1.8402148881817493,True
29,TeO,Mes,7,0.15738435182066887,-0.0129117138782048,-0.0026840037756651713,0.7402506920527107,-0.2175924585079046,True
30,Th,Di,7,0.2109198778143202,-0.0171329083707598,0.0013404633385385716,0.7421494844253698,-1.016615419753422,True
31,TL,Mes,7,0.06979236599010973,-0.05455036012276783,-0.0070674152460740575,0.7245801699235663,1.8287705426551246,True
32,TS,Mes,7,0.15814872839355018,-0.009980665681655057,-0.008853318970952257,0.6544744574897144,-0.31048367125543574,True
33,TG,Hind,7,0.1832221338398186,0.0059946033367217,-0.003560101250586025,0.41422137188208613,0.19850377164369126,True
34,VR,Hind,7,0.15458289333193664,-0.007886306097907653,0.006771317433481629,0.6716334985660376,2.4252102027325804,True
35,NX,Hind,7,0.20806528402632857,-0.005432988133987343,0.005861863479216843,0.4238409916947071,-0.235083756632878,True
36,rMON,Hind,7,0.13664401517748678,-0.0143861651136481,-0.0014970485256828284,0.34412389095027157,0.3916200146037562,True
37,rCb,Hind,7,0.138160403987604,-0.0188428485475228,3.6581997527606104e-05,0.6025719411753394,0.11224491429656296,True
38,rMOS1,Hind,7,0.2990027598877605,-0.012194726241964885,0.006611223323256014,0.2772565244482355,-0.5502551048366204,True
39,rMOS2,Hind,7,0.262244738002474,-0.0021787136307454573,0.010218778450709315,0.5296207552287188,-1.5234991888463854,True
40,rMOS3,Hind,7,0.23802233770282544,-0.017252600490713716,-0.0074040619523428,0.5074233669531937,1.2095120061566025,True
41,rMOS4,Hind,7,0.19985672958748,-0.010334502479068858,0.0005837247192696916,0.6877706986479183,1.1338012976356464,True
42,rMOS5,Hind,7,0.1924854112978799,-0.0097048125252123,-0.003545828079235643,0.41422267512013883,1.2327708723327448,True
43,rIPN,Hind,7,0.17679762478376473,-0.0166122481869922,0.0026696050535640575,0.5424692608162492,-0.8448733789242893,True
44,rIO,Hind,7,0.09934938920144046,0.020865049344604616,-0.0060113440536711,0.39820677466172594,2.6617935517724916,True
45,rHc,Di,4,0.15944511080610999,-0.001226196345543525,-0.00532545640818765,0.6280308637084195,-0.9253357350555986,True
46,rRa,Hind,7,0.15028809858188505,-0.021154908789307543,0.006875518655674385,0.6959859492920352,-1.0655495386408071,True
47,rT,Mes,7,0.15981971558598138,-0.021031803937554515,-0.0020229855301571,0.5526500393758027,0.7519577030495472,True
48,raRF,Hind,7,0.13494116602228107,-0.02166361766868933,-0.005848017192280672,0.7004855732976586,0.3083660420474913,True
49,rimRF,Hind,7,0.16781819941899281,-0.02487557757937516,0.0021466553657899716,0.5220538641839865,-0.3674004674514145,True
50,rpRF,Hind,7,0.17479234459199205,-0.008305657927338372,0.008323112203431071,0.4942288685704934,-1.614842908645004,True
52,rHb,Di,7,0.22040018948288037,0.006062467824932071,8.00265118085126e-05,0.7406505445631099,5.365977110644256,True
53,rHi,Di,7,0.21810545906723708,-0.013382177597524771,0.0006106698402432144,0.6901848212929808,1.077949621420389,True
54,rHR,Di,6,0.1755786612395712,-0.02128701007312513,-0.0033903435408648834,0.625272672339353,-2.2196939475665154,True
55,rOG,Tel,5,0.0014598540145985398,-0.00041708852404647064,-0.0004205990329677758,0.5102087988470563,1.0162808729968926,True
56,rOB,Tel,7,0.06896698073168658,0.005197444639762548,-0.006873298511620457,0.7483226215572748,-3.9599516064301943,True
57,rOE,Tel,5,0.18,0.0810269051925803,-0.017843283989491924,0.6566814177490065,0.006154331733350738,True
58,rP,Tel,7,0.26762284780054396,0.007885567801935287,-0.013642830080509028,0.7669863168910445,1.5490632107525393,True
60,rPT,Di,7,0.21836403521402845,-0.008439274187510157,-0.0037576967997051,0.6196446938830268,-0.5727203673232523,True
61,rPO,Tel,7,0.2873111020757082,0.007135846752590086,0.0044274421215831855,0.6612018326111635,0.5199436880228233,True
62,rPrT,Di,7,0.15221587286201052,-0.021609463511702832,-0.002660622717765643,0.6655470922192321,-0.20467078265065333,True
64,rSP,Tel,7,0.1911411884950968,0.005425842404136701,-0.0011009116525225089,0.6269163705886353,2.38182936226196,True
65,rTeO,Mes,7,0.131177510720264,-0.021563367342063714,-0.0038771285446551717,0.7216177234526283,-0.704335050988257,True
66,rTh,Di,7,0.2556638282906804,-0.01150550894918513,-0.002003822309900886,0.6239837747442507,-0.30596258960601286,True
