species,recording_id,root_area_id,node,Subject,RegionID,PostDCA,PreDCA,OO_fraction,OO_count,Modularity,LogOutIn,inter_out_edges,inter_in_edges,post_dca_edges,pre_dca_edges,modularity_edges,modularity_n_modules,anatomy_group,complete_five_measures
Zebrafish,subject_12,35,NX,12,35,-0.0079134852688787,0.0054636320805868,0.2355821803832073,14865,0.4447765610560739,-0.0453278342994466,63099,66025,63099,66025,2285,16,Hind,True
Zebrafish,subject_12,36,rMON,12,36,-0.0151562291475228,0.0004101664268373,0.135451446704269,31075,0.3673792887050465,0.4366432428080851,229418,148250,229418,148250,18942,21,Hind,True
Zebrafish,subject_12,37,rCb,12,37,-0.0209590758390974,0.0006335989592044,0.1225731671979136,15228,0.5742262184522872,-0.0817124365156155,124236,134814,124236,134814,8598,71,Hind,True
Zebrafish,subject_12,38,rMOS1,12,38,-0.0155807357402673,0.007104684103571,0.3098219165049704,140033,0.263963225735931,-0.3969417863818234,451979,672215,451979,672215,69892,44,Hind,True
Zebrafish,subject_12,39,rMOS2,12,39,-0.0027174214035982,0.0108366527366991,0.2834531679776094,17622,0.6152017569901983,-1.5709923210256982,62169,299125,62169,299125,2341,38,Hind,True
Zebrafish,subject_12,40,rMOS3,12,40,-0.0157988160115232,-0.0064582562268182,0.2678745929775172,227796,0.4820813333141606,1.214855148514053,850383,252353,850383,252353,21243,20,Hind,True
Zebrafish,subject_12,41,rMOS4,12,41,-0.0072648287622253,0.0019011104413411,0.2131986852700742,68043,0.7011971289520669,1.2713792552729262,319153,89504,319153,89504,4225,89,Hind,True
Zebrafish,subject_12,42,rMOS5,12,42,-0.0071607958962447,-0.0035011333147442,0.1926447442243814,77600,0.4777964341069743,1.4489679259131043,402814,94585,402814,94585,21437,25,Hind,True
Zebrafish,subject_12,43,rIPN,12,43,-0.0235380304402276,0.001114250945417,0.242861103410036,876,0.5353185595567868,-0.9756885678457496,3607,9571,3607,9571,38,7,Hind,True
Zebrafish,subject_12,44,rIO,12,44,0.0209341003395068,,0.0,0,,2.772588722239781,15,0,15,0,0,0,Hind,False
Zebrafish,subject_12,46,rRa,12,46,-0.0313273456302005,0.005887051287661,0.157769188960686,5225,0.6682708803058525,-1.1292189333746434,33118,102444,33118,102444,404,21,Hind,True
Zebrafish,subject_12,47,rT,12,47,-0.0238812517382032,-0.0018451255021339,0.157718622938639,122266,0.5258364164530117,0.6269606412664458,775216,414130,775216,414130,12095,31,Mes,True
Zebrafish,subject_12,48,raRF,12,48,-0.0230319581080262,-0.0044652265507074,0.122186152945559,9184,0.6866545265348593,0.3880953861591228,75164,50987,75164,50987,310,39,Hind,True
Zebrafish,subject_12,49,rimRF,12,49,-0.0269817417522108,0.0055850784790989,0.17942409277122,30264,0.42645179584121,-0.333271606827308,168673,235388,168673,235388,3448,18,Hind,True
Zebrafish,subject_12,50,rpRF,12,50,-0.011002932108895,0.0101622221956036,0.178653178763937,24195,0.4495645576358163,-1.5138897971992478,135430,615448,135430,615448,6138,17,Hind,True
Zebrafish,subject_12,52,rHb,12,52,0.0079966378606949,-0.0001799350782608,0.1973126740104103,1630,0.7397153633612559,6.186208623900494,8261,16,8261,16,302,55,Di,True
Zebrafish,subject_12,53,rHi,12,53,-0.024329913433303,-0.0076650591504005,0.0014641288433382,2,0.3790170132325141,3.853078006737476,1366,28,1366,28,23,14,Di,True
Zebrafish,subject_12,56,rOB,12,56,0.0188482661747228,-0.0081411704122888,0.0588235294117647,1,0.7785585141354372,-4.103561217327025,17,1089,17,1089,156,49,Tel,True
Zebrafish,subject_12,57,rOE,12,57,0.0015638991193397,0.0095064099935225,0.0,0,0.6301020408163267,0.2231435513142097,4,3,4,3,14,22,Tel,True
Zebrafish,subject_12,58,rP,12,58,0.0124691783687306,-0.0100604873170358,0.2660794092881663,12324,0.7517690305570578,1.703852513424284,46317,8428,46317,8428,1720,93,Tel,True
Zebrafish,subject_12,60,rPT,12,60,-0.0053433703552153,-0.0030900947608857,0.2217643805309734,16038,0.6042952900030732,-0.3282966368233946,72320,100424,72320,100424,1014,14,Di,True
Zebrafish,subject_12,61,rPO,12,61,0.0083990595499287,0.006597132165117,0.3144024086077053,38951,0.6803317426028047,0.3828792551696962,123889,84479,123889,84479,819,14,Tel,True
Zebrafish,subject_12,62,rPrT,12,62,-0.0210293300388905,-0.0016900788683603,0.1714838269734893,30680,0.5926477293016589,-0.3145630619212531,178909,245045,178909,245045,1927,35,Di,True
Zebrafish,subject_12,64,rSP,12,64,0.0042632002587752,-0.0055404229839743,0.2325215073306676,1919,0.5683915146488275,2.6451334207355144,8253,585,8253,585,1922,28,Tel,True
Zebrafish,subject_12,65,rTeO,12,65,-0.0221648373012576,-0.0036723258459201,0.1332642169211673,83423,0.6919974993821773,-0.8524180188540805,625997,1468159,625997,1468159,52155,159,Mes,True
Zebrafish,subject_12,66,rTh,12,66,-0.009248086832887,-0.0019979202698031,0.2534407823252445,53181,0.5782853012205219,-0.364092667261627,209836,301998,209836,301998,6023,29,Di,True
Zebrafish,subject_12,67,rTL,12,67,-0.0472627453639681,-0.0136026040750468,0.0834662413609782,157,0.791753436068305,0.2614613778246426,1881,1448,1881,1448,49,32,Mes,True
Zebrafish,subject_12,68,rTS,12,68,-0.0121777813277059,-0.0142974398448738,0.0655379574003277,240,0.7796093750000002,0.4873522675803485,3662,2249,3662,2249,80,62,Mes,True
Zebrafish,subject_12,69,rTG,12,69,,,,0,,0.0,0,0,0,0,0,0,Hind,False
