species,level,x,y,n,pearson_r,pearson_p,spearman_rho,spearman_p
C. elegans,fine-class mean,OO_fraction,EdgeStdFCV,8,0.7722937247934556,0.024705254434985332,0.8333333333333335,0.01017554012345675
C. elegans,fine-class mean,PostDCA,EdgeStdFCV,8,0.7474094461248306,0.03304248008266358,0.7142857142857144,0.04652823228416724
C. elegans,fine-class mean,PreDCA,EdgeStdFCV,8,-0.44674192596744006,0.2671360052442897,-0.2142857142857143,0.6103444156452669
Drosophila,side-aware region,OO_fraction,EdgeStdFCV,41,0.3314950611940971,0.034239757160987684,0.29128919860627184,0.06463458008746366
Drosophila,side-aware region,PostDCA,EdgeStdFCV,41,-0.2616366233393125,0.09845142874420024,-0.13641114982578403,0.3950854546131073
Drosophila,side-aware region,PreDCA,EdgeStdFCV,41,0.5537187594745341,0.00017300139568140815,0.4726480836236934,0.0018057157947255855
