root_area_id,node,anatomy_group,n_recordings,n_clusters_mean,EdgeStdFCV,FCS,ProfileCorrDistFCV,NetTE,NeighborNetTE,complete_five_measures
0,MON,Hind,7,1.4285714285714286,0.3147048627913153,0.09718558772096343,0.5822260813728242,-0.0034624831838276572,-0.0002945269856570857,True
1,Cb,Hind,7,3.7142857142857144,0.31531327656263863,0.22625191613617673,0.5877101024749493,0.0022743860893952713,5.1248507260360426e-05,True
2,MOS1,Hind,7,2.7142857142857144,0.3295841016803318,0.2729747074607673,0.4614375185569992,0.005121918773497071,2.047980436209933e-05,True
3,MOS2,Hind,7,1.1428571428571428,0.3184847973253438,0.2857452166579226,0.4030078588298161,0.007185718389281475,-9.785934940136086e-05,True
4,MOS3,Hind,7,2.2857142857142856,0.3427450380559997,0.26856843411595355,0.4957880169762475,0.007031654800703343,-0.00012467429805597546,True
5,MOS4,Hind,7,1.5714285714285714,0.3174002983031145,0.3043880956580267,0.4445445441905285,0.005488041930139072,-9.15612607509392e-06,True
6,MOS5,Hind,7,2.142857142857143,0.3245294208743777,0.23235039674297164,0.5387962163973141,0.004282693626930714,-9.346291339768571e-05,True
7,IPN,Hind,7,1.0,0.33198531583108554,0.16139827753307853,0.6779933152682431,0.0005329770505689,2.8293595011577317e-05,True
8,IO,Hind,7,1.0,0.31367527096687514,0.10965344584232344,0.7068341457052968,-0.007580633366375072,0.0015289458130034715,True
9,Hc,Di,6,1.0,0.2740754479993043,0.14135719130695756,0.711642423212861,-0.009789256099110006,-0.00018897042773949988,True
10,Ra,Hind,7,1.0,0.32509584424247306,0.24952836418864568,0.5524287626551613,-0.00017975771141323952,0.00015736016430660638,True
11,T,Mes,7,2.142857142857143,0.327488469949286,0.2824890035582302,0.5437093658751839,-0.002146894278229586,-6.874474301960644e-05,True
12,aRF,Hind,7,1.0,0.31400063590725036,0.27299225755189654,0.49817694522204065,-0.0035990019143212716,-3.912854380927108e-06,True
13,imRF,Hind,7,1.0,0.3100590899500802,0.29041836843852076,0.41526035872681893,0.0005357594541764429,-1.7061995922164007e-05,True
14,pRF,Hind,7,1.1428571428571428,0.33291617495630516,0.2591274978656725,0.4393384559906433,0.004290149007160843,9.835843675847301e-05,True
16,Hb,Di,7,1.0,0.34258517006335026,0.11801359208485782,0.7467140095365743,-0.0006732070189346713,0.00043497066446392666,True
17,Hi,Di,7,1.0,0.30043672776670943,0.23313959121050706,0.5854503807958261,-0.0119827908914405,0.00016735329898847896,True
18,HR,Di,6,1.0,0.30524744443979024,0.23149020495436914,0.5893478202990529,-0.0161305392402747,0.00017014424016398335,True
19,OG,Tel,7,1.0,0.24933083636533496,0.07004507215595046,0.7910258437595029,-0.002535954797571029,-0.0006617825601665167,True
20,OB,Tel,7,1.0,0.3671760353642188,0.0833043079923186,0.7180892652073023,0.002262136037433743,0.00031238393033538236,True
