recording_id,node,FCV_raw,EdgeStdFCV,NetTE_raw,NetTE,n_nodes
2023-01-05-01,AVER,0.35119806865327696,-0.3321530162870412,0.020292261078413327,1.5469707944620517,68
2023-01-05-01,RIH,0.3547412049935235,-0.18528909242655503,-0.011161412628895612,-0.8508849405751632,68
2023-01-05-01,URYVL,0.3662816581798864,0.29306569703648927,-0.002660379820015831,-0.20281278009569634,68
2023-01-05-01,RMDDR,0.3500808591495807,-0.3784616411128195,-0.013480258678407632,-1.0276610574202598,68
2023-01-05-01,RMDL,0.402411502742343,1.7906571615926028,0.029032449196528604,2.2132748452813003,68
2023-01-05-01,RIBL,0.36733018961785335,0.336527598155482,0.046353265746071626,3.533718990703912,68
2023-01-05-01,SMDVL,0.37882558896543683,0.81301489427006,0.005304429215713755,0.40438061812291864,68
2023-01-05-01,IL2VR,0.3451732358218359,-0.5818839058884685,-0.015613461526744225,-1.1902847538278758,68
2023-01-05-01,RMED,0.35635362541471044,-0.11845384612840931,0.0077596727228344846,0.5915549297548944,68
2023-01-05-01,URXL,0.36728254840241886,0.3345528573709642,0.01126236146871314,0.8585807269800931,68
2023-01-05-01,ADEL,0.3556439908384196,-0.1478683840894005,-0.00011185752341485585,-0.008527404668951128,68
2023-01-05-01,RMDDL,0.34637542794647763,-0.5320527292968351,-0.00515308067417596,-0.39284263462080105,68
2023-01-05-01,ASKR,0.35081076145658346,-0.3482070004365346,-0.005862332563925474,-0.446912112394606,68
2023-01-05-01,AUAL,0.35943900739680446,0.009436040397165203,-0.004445176261304377,-0.33887588110075556,68
2023-01-05-01,AVAR,0.35115959575186756,-0.33374772806798536,0.0021041792710866122,0.1604110979109262,68
2023-01-05-01,AIZL,0.3503685731491698,-0.3665358209152515,-0.007143112298781128,-0.5445517414287634,68
2023-01-05-01,RIVR,0.3905077054151402,1.2972416628846646,0.004362026377643768,0.33253698958497885,68
2023-01-05-01,RID,0.36765876878500037,0.35014729018874513,0.02310967764347048,1.7617551955268245,68
2023-01-05-01,RMDVL,0.3787347549518956,0.8092498007575337,0.009627779583551961,0.7339691606430616,68
2023-01-05-01,IL2DR,0.3624909821878783,0.13594119015643177,-0.0029839438822977455,-0.227479531255334,68
2023-01-05-01,SMDVR,0.4067005954025114,1.9684411691449935,0.0018197426555104864,0.13872720889177795,68
2023-01-05-01,AIBR,0.3458433924537499,-0.5541057390011145,0.02485971604664992,1.8951685341609084,68
2023-01-05-01,IL1DL,0.35383678336410174,-0.2227776044582242,-0.00790789056681735,-0.6028542460298827,68
2023-01-05-01,RICL,0.309776790518336,-2.049075780199274,-0.005457989176110781,-0.4160871880815348,68
2023-01-05-01,RICR,0.32224486103850875,-1.5322710107180069,-0.006998421689438602,-0.5335213221954964,68
2023-01-05-01,IL1VL,0.35192909592992505,-0.3018517453260393,0.0015594807477741655,0.11888626713455969,68
2023-01-05-01,ALA,0.3420349271308461,-0.7119676182787613,0.006017909655727074,0.45877245739876343,68
2023-01-05-01,AVJL,0.3289034845527184,-1.2562693322902219,-0.010628138787632944,-0.8102310649574519,68
2023-01-05-01,URXR,0.36442528502599975,0.2161185464478423,0.015835578022984523,1.2072176984279976,68
2023-01-05-01,URYDR,0.3422511026258707,-0.7030070877224947,-0.008731900850381228,-0.6656722749367621,68
2023-01-05-01,CEPDL,0.33811684841848944,-0.8743730010902224,-0.008831910817570484,-0.6732964868370056,68
2023-01-05-01,RIMR,0.354304729047905,-0.20338113402148594,-0.002458683801648838,-0.18743658083592335,68
2023-01-05-01,AVJR,0.3116857834301273,-1.969947526944414,-0.0008797692653471418,-0.06706878815023504,68
2023-01-05-01,RIML,0.3537146437015514,-0.22784032527350237,-0.006039178146931851,-0.46039385062886845,68
2023-01-05-01,OLLR,0.3526452907789757,-0.2721652823509989,0.03944738379877756,3.007252391383874,68
2023-01-05-01,OLQDR,0.3925242102281717,1.3808263124397406,0.0024942054589285733,0.19014455734826463,68
2023-01-05-01,AWCL,0.40467297600286406,1.884395817080689,-0.005099087911853423,-0.3887265222712439,68
