recording_id,node,FCV_raw,EdgeStdFCV,NetTE_raw,NetTE,n_rois
2017-10-26_1,AL_R,0.3092294912370727,1.6378505034489974,0.0009446632217295914,0.40029789034340474,23
2017-10-26_1,AME_R,0.2676182779951919,-1.4291612209937992,0.0009483693865340033,0.40186836532151893,1
2017-10-26_1,AMMC_R,0.27864356601127216,-0.616527198185662,-0.0010848838584872093,-0.4597159176208025,4
2017-10-26_1,ATL_R,0.2947505625980829,0.5706611466999,-0.0007633998890956293,-0.323488157540279,1
2017-10-26_1,AVLP_R,0.2831755039679877,-0.2824944756380704,0.0005806471582765687,0.24604729722243465,28
2017-10-26_1,CRE_R,0.31309204842438587,1.922545595393516,0.007428502926998642,3.14780334587701,8
2017-10-26_1,EPA_R,0.28887373221919993,0.13750127775249307,-0.001135721735374691,-0.48125829843916135,1
2017-10-26_1,GA_R,0.29331228711148566,0.46465107305146697,-0.002640050824259054,-1.1187127338517002,1
2017-10-26_1,GOR_R,0.29444520590152357,0.5481544112427845,-0.0021161452069822606,-0.8967094754301597,1
2017-10-26_1,IB_R,0.2756841608859025,-0.8346542247667948,0.00029707202158137764,0.12588327859461837,4
2017-10-26_1,ICL_R,0.30383567464986244,1.2402918305906472,0.0018665180377092031,0.7909307948021078,8
2017-10-26_1,IPS_R,0.2759611991118309,-0.8142347411506285,0.00011400389108123713,0.04830876871357827,11
2017-10-26_1,IVLP_R,0.2699814907809382,-1.254977371099654,-3.9124197595332186e-05,-0.01657874827614809,5
2017-10-26_1,LAL_R,0.29843708916556855,0.8423816596112713,-0.0030230376896282743,-1.2810021410288295,9
2017-10-26_1,LB_R,0.2665942081868954,-1.5046416952216468,-0.0014486532235455758,-0.6138619731196228,1
2017-10-26_1,LH_R,0.3123138178647127,1.8651850412332003,-0.00446267812828434,-1.8910449766035564,14
2017-10-26_1,LO_R,0.2723329465769137,-1.0816600863128891,0.0005564299915933,0.23578535358959365,29
2017-10-26_1,MB_R,0.31218461851625695,1.8556622254911859,0.008428184846925502,3.571415226128356,16
2017-10-26_1,ME_R,0.27202695718354264,-1.1042134555590337,-3.5504051915188265e-05,-0.01504472361512216,23
2017-10-26_1,OTU_R,0.2940256897501492,0.5172333960976817,-0.0033577367130001395,-1.4228297361695101,3
2017-10-26_1,PLP_R,0.2865211320748434,-0.035900352806190694,0.0032452750944394885,1.3751745002940103,15
2017-10-26_1,PVLP_R,0.2755391980068659,-0.8453389132191548,0.0006801386559105346,0.2882064876025409,17
2017-10-26_1,SCL_R,0.301122530524479,1.0403158098415355,-0.0030336220005507284,-1.2854872074901234,6
2017-10-26_1,SIP_R,0.3022193753427245,1.1211602663080795,-0.005273663789566217,-2.2346974464387936,6
2017-10-26_1,SLP_R,0.31105384729780305,1.77231717701829,-0.004195135575062985,-1.7776747117640803,22
2017-10-26_1,SMP_R,0.311551789056686,1.8090186594698185,0.0003527886918672443,0.14949303184780025,21
2017-10-26_1,SPS_R,0.27944275066931507,-0.557622193374473,-0.0010862611331780168,-0.4602995331786774,12
